,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.036,0.044,0.113,0.133,0.148,0.364,0.563,0.296,0.196,0.170,0.128,0.199
DCC_joint,0.035,0.070,0.254,0.348,0.419,0.458,0.470,0.291,0.281,0.165,0.208,0.273
DCC_bivariate_loop,0.050,0.074,0.184,0.203,0.247,0.287,0.301,0.230,0.223,0.168,0.148,0.192
SW_cross_validated,0.101,0.057,0.166,0.220,0.271,0.371,0.523,0.251,0.206,0.182,0.116,0.224
SW_15,0.269,0.169,0.216,0.205,0.199,0.213,0.213,0.245,0.207,0.244,0.221,0.218
SW_30,0.195,0.129,0.157,0.151,0.149,0.173,0.188,0.200,0.164,0.205,0.160,0.170
SW_60,0.145,0.097,0.128,0.152,0.202,0.305,0.404,0.220,0.156,0.188,0.124,0.193
SW_120,0.119,0.078,0.160,0.295,0.479,0.628,0.678,0.331,0.191,0.203,0.119,0.298
sFC,0.044,0.029,0.567,0.570,0.567,0.569,0.568,0.314,0.653,0.162,0.246,0.390
