,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,0.000,0.907,0.874,0.843,0.796,0.780,0.576,0.909,0.084,0.663,0.643
DCC_bivariate_loop,,0.000,0.954,0.942,0.905,0.871,0.854,0.721,0.946,0.311,0.832,0.734
SW_cross_validated,,-0.000,0.972,0.957,0.925,0.725,0.521,0.613,0.944,-0.042,0.868,0.648
SW_15,,-0.000,0.896,0.908,0.903,0.885,0.895,0.758,0.910,0.464,0.696,0.732
SW_30,,0.000,0.937,0.953,0.948,0.930,0.920,0.812,0.949,0.438,0.814,0.770
SW_60,,-0.000,0.962,0.967,0.953,0.894,0.774,0.747,0.958,0.243,0.879,0.738
SW_120,,-0.000,0.969,0.934,0.618,-0.369,-0.614,0.191,0.950,-0.091,0.877,0.346
sFC,,,,,,,,,,,,
