,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.035,0.053,0.131,0.149,0.156,0.369,0.563,0.297,0.213,0.169,0.138,0.207
DCC_joint,0.033,0.033,0.265,0.360,0.425,0.463,0.474,0.291,0.285,0.163,0.209,0.273
DCC_bivariate_loop,0.048,0.039,0.174,0.195,0.244,0.282,0.297,0.224,0.215,0.165,0.143,0.184
SW_cross_validated,0.085,0.131,0.152,0.210,0.279,0.371,0.529,0.247,0.260,0.198,0.139,0.236
SW_15,0.200,0.274,0.263,0.252,0.254,0.276,0.256,0.238,0.274,0.245,0.228,0.251
SW_30,0.159,0.204,0.206,0.183,0.188,0.217,0.230,0.196,0.210,0.214,0.165,0.198
SW_60,0.125,0.153,0.161,0.163,0.218,0.314,0.416,0.211,0.200,0.197,0.133,0.208
SW_120,0.106,0.137,0.157,0.292,0.484,0.629,0.674,0.317,0.233,0.218,0.135,0.307
sFC,0.044,0.030,0.567,0.571,0.567,0.569,0.568,0.314,0.653,0.162,0.246,0.390
