,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,0.000,0.009,0.010,0.007,0.013,0.011,0.060,0.007,0.051,0.146,0.031
DCC_bivariate_loop,,0.000,0.003,0.005,0.005,0.008,0.006,0.019,0.003,0.043,0.016,0.011
SW_cross_validated,,0.000,0.003,0.012,0.007,0.123,0.039,0.047,0.002,0.021,0.016,0.027
SW_15,,0.000,0.006,0.010,0.007,0.004,0.008,0.014,0.005,0.055,0.026,0.013
SW_30,,0.000,0.006,0.008,0.004,0.006,0.008,0.015,0.002,0.048,0.019,0.012
SW_60,,0.000,0.004,0.005,0.005,0.008,0.016,0.019,0.002,0.036,0.015,0.011
SW_120,,0.000,0.006,0.013,0.030,0.042,0.030,0.023,0.002,0.052,0.016,0.021
sFC,,,,,,,,,,,,
