,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.034,0.011,0.036,0.041,0.030,0.193,0.004,0.028,0.011,0.011,0.014,0.038
DCC_joint,0.021,0.021,0.026,0.025,0.023,0.026,0.018,0.017,0.033,0.011,0.027,0.023
DCC_bivariate_loop,0.036,0.023,0.018,0.023,0.016,0.029,0.017,0.025,0.019,0.020,0.015,0.022
SW_cross_validated,0.036,0.011,0.019,0.047,0.056,0.099,0.005,0.037,0.028,0.017,0.024,0.034
SW_15,0.019,0.024,0.028,0.047,0.031,0.023,0.032,0.029,0.024,0.027,0.028,0.028
SW_30,0.027,0.025,0.032,0.041,0.020,0.025,0.029,0.030,0.015,0.028,0.022,0.027
SW_60,0.030,0.019,0.029,0.025,0.029,0.015,0.008,0.024,0.010,0.018,0.010,0.020
SW_120,0.033,0.026,0.037,0.023,0.019,0.009,0.009,0.014,0.010,0.021,0.017,0.020
sFC,0.030,0.021,0.003,0.006,0.002,0.003,0.005,0.006,0.001,0.008,0.006,0.008
