,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,0.000,0.027,0.031,0.022,0.041,0.036,0.191,0.021,0.161,0.461,0.099
DCC_bivariate_loop,,0.000,0.010,0.015,0.014,0.027,0.020,0.060,0.010,0.135,0.051,0.034
SW_cross_validated,,0.000,0.009,0.037,0.021,0.389,0.125,0.148,0.008,0.068,0.050,0.085
SW_15,,0.000,0.020,0.033,0.023,0.012,0.025,0.044,0.015,0.173,0.081,0.043
SW_30,,0.000,0.018,0.024,0.011,0.019,0.026,0.048,0.008,0.152,0.060,0.037
SW_60,,0.000,0.014,0.015,0.016,0.025,0.051,0.060,0.005,0.114,0.048,0.035
SW_120,,0.000,0.018,0.041,0.095,0.133,0.095,0.073,0.006,0.165,0.052,0.068
sFC,,,,,,,,,,,,
