,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.037,0.035,0.050,0.048,0.053,0.098,0.138,0.079,0.059,0.051,0.047,0.063
DCC_joint,0.047,0.046,0.108,0.116,0.125,0.129,0.130,0.086,0.129,0.058,0.071,0.095
DCC_bivariate_loop,0.058,0.057,0.067,0.069,0.080,0.086,0.090,0.080,0.074,0.066,0.065,0.072
SW_cross_validated,0.085,0.088,0.101,0.115,0.133,0.149,0.146,0.124,0.101,0.093,0.088,0.111
SW_15,0.255,0.250,0.250,0.245,0.248,0.246,0.250,0.253,0.247,0.247,0.250,0.249
SW_30,0.178,0.177,0.172,0.171,0.174,0.174,0.175,0.178,0.174,0.176,0.174,0.175
SW_60,0.133,0.132,0.127,0.126,0.133,0.146,0.158,0.137,0.131,0.130,0.126,0.134
SW_120,0.111,0.109,0.106,0.123,0.155,0.179,0.191,0.131,0.112,0.111,0.107,0.131
sFC,0.050,0.046,0.141,0.143,0.142,0.142,0.142,0.088,0.161,0.062,0.078,0.109
