,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.857,0.874,0.980,1.380,1.476,1.375,1.375,0.928,0.936,0.843,0.930
1,0.894,0.836,1.205,1.024,1.244,1.375,1.375,0.885,0.935,0.875,0.930
2,0.850,0.824,0.960,1.273,1.389,1.375,1.375,0.864,1.419,0.851,0.930
3,0.932,0.914,1.061,1.098,1.730,1.375,1.375,0.885,0.912,0.871,0.930
4,0.874,0.883,1.021,1.213,1.478,1.375,1.375,0.877,0.984,0.843,0.930
5,0.882,0.832,0.981,0.929,1.479,1.375,1.375,1.216,0.934,0.922,0.930
6,0.889,0.827,1.118,0.893,1.045,1.375,1.375,0.877,0.893,0.830,0.930
7,0.862,0.851,0.970,1.001,1.144,1.375,1.375,0.909,0.942,0.924,0.930
8,0.840,0.843,0.974,0.912,1.608,1.375,1.375,0.825,0.870,0.925,0.930
9,0.916,0.754,0.887,0.951,1.503,1.375,1.375,0.909,0.911,0.840,0.930
10,0.849,0.832,1.160,0.956,0.949,1.375,1.375,0.921,0.919,0.842,0.930
11,0.861,0.936,0.866,0.914,1.128,1.375,1.375,0.833,0.958,0.998,0.930
12,0.966,0.820,0.941,0.936,1.339,1.375,1.375,0.852,0.963,0.849,0.930
13,0.883,0.870,1.103,1.017,1.088,1.375,1.375,0.852,0.959,0.847,0.930
14,0.834,0.774,1.014,1.069,0.945,1.375,1.375,0.870,0.958,0.956,0.930
15,0.876,0.935,0.925,1.342,1.006,1.375,1.375,0.842,0.970,0.837,0.930
16,0.829,0.908,0.977,1.053,1.338,1.375,1.375,0.933,0.909,0.917,0.930
17,0.861,1.016,1.078,1.028,1.091,1.375,1.375,0.860,0.917,0.842,0.930
18,0.914,0.893,1.104,0.940,1.131,1.375,1.375,0.886,0.921,0.839,0.930
19,0.849,0.844,0.893,0.921,1.065,1.375,1.375,0.847,1.099,0.863,0.930
20,0.881,0.843,0.987,0.950,1.604,1.375,1.375,0.965,0.890,0.843,0.930
21,0.926,0.835,0.983,1.060,0.926,1.375,1.375,0.975,0.858,0.889,0.930
22,0.859,0.822,0.911,1.088,1.066,1.375,1.375,0.922,0.890,0.931,0.930
23,0.891,0.929,0.995,0.851,1.036,1.375,1.375,0.880,1.211,0.887,0.930
24,0.889,1.301,0.935,1.189,1.020,1.375,1.375,0.861,0.850,0.907,0.930
25,0.889,0.949,1.022,0.953,1.396,1.375,1.375,0.937,0.850,0.855,0.930
26,0.872,0.835,1.000,1.032,1.179,1.375,1.375,1.130,1.016,0.881,0.930
27,0.851,0.820,0.975,0.973,1.053,1.375,1.375,1.058,0.941,0.838,0.930
28,0.840,0.819,1.559,1.065,1.888,1.375,1.375,0.865,1.028,0.868,0.930
29,0.909,0.876,0.966,1.163,0.982,1.375,1.375,0.892,0.978,0.868,0.930
30,0.871,0.849,0.932,1.292,1.135,1.375,1.375,0.931,0.967,0.861,0.930
31,0.836,0.956,0.961,0.946,1.080,1.375,1.375,0.859,0.971,0.847,0.930
32,0.846,0.882,0.955,1.009,0.846,1.375,1.375,0.859,0.887,0.924,0.930
33,0.905,0.951,0.984,0.895,1.143,1.375,1.375,0.849,0.960,0.875,0.930
34,0.886,0.891,1.006,0.867,0.981,1.375,1.375,0.910,0.943,0.823,0.930
35,0.865,0.930,0.922,1.193,1.166,1.375,1.375,0.871,0.799,0.888,0.930
36,0.860,1.019,0.901,1.071,0.863,1.375,1.375,1.128,1.192,0.842,0.930
37,0.855,0.841,1.051,1.203,1.412,1.375,1.375,0.892,0.985,0.852,0.930
38,0.859,0.853,0.953,1.051,1.100,1.375,1.375,0.846,0.913,0.865,0.930
39,0.848,0.894,0.986,1.070,1.042,1.375,1.375,0.853,0.994,0.824,0.930
40,0.881,0.864,0.986,0.925,1.607,1.375,1.375,0.966,0.976,0.834,0.930
41,0.894,0.826,1.001,1.078,0.847,1.375,1.375,1.151,0.943,0.902,0.930
42,0.855,0.896,0.934,0.922,1.125,1.375,1.375,1.001,0.885,0.890,0.930
43,0.869,0.882,0.916,0.885,0.855,1.375,1.375,0.898,0.967,0.935,0.930
44,0.886,0.938,0.888,1.102,1.240,1.375,1.375,0.911,0.988,0.838,0.930
45,0.854,0.848,1.091,0.971,1.029,1.375,1.375,0.908,0.931,0.854,0.930
46,0.926,0.936,1.039,0.943,1.086,1.375,1.375,1.158,0.964,0.903,0.930
47,0.857,0.830,1.017,1.196,1.571,1.375,1.375,0.854,1.238,0.869,0.930
48,0.900,0.831,0.913,1.343,1.369,1.375,1.375,1.025,1.373,0.845,0.930
49,0.888,0.848,0.869,0.988,1.111,1.375,1.375,0.824,1.018,0.929,0.930
50,0.873,0.876,0.904,1.002,1.627,1.375,1.375,0.961,0.956,0.906,0.930
51,0.907,0.824,1.077,1.072,1.156,1.375,1.375,0.852,1.160,0.888,0.930
52,0.915,0.843,0.928,0.902,1.134,1.375,1.375,0.967,0.977,0.896,0.930
53,0.924,0.894,0.940,0.930,1.143,1.375,1.375,0.870,0.869,0.892,0.930
54,0.895,0.843,0.910,1.156,1.123,1.375,1.375,0.858,0.894,0.767,0.930
55,0.859,0.903,0.876,1.070,1.111,1.375,1.375,0.853,0.996,0.861,0.930
56,0.863,0.844,1.006,1.054,1.095,1.375,1.375,1.439,0.839,0.854,0.930
57,0.886,0.819,0.953,1.013,0.925,1.375,1.375,0.818,0.887,0.853,0.930
58,0.909,0.689,1.012,0.972,1.282,1.375,1.375,0.925,0.901,0.848,0.930
59,0.880,0.924,1.009,1.060,1.114,1.375,1.375,0.889,0.965,0.894,0.930
60,0.840,0.882,1.069,1.064,0.995,1.375,1.375,0.837,0.979,0.883,0.930
61,0.859,0.856,1.100,0.987,1.489,1.375,1.375,0.821,0.985,0.845,0.930
62,0.859,0.806,0.987,0.908,1.048,1.375,1.375,0.879,1.077,0.877,0.930
63,0.998,0.748,0.978,1.418,1.570,1.375,1.375,0.914,0.844,0.827,0.930
64,0.868,0.892,0.951,0.879,1.118,1.375,1.375,0.910,0.906,0.863,0.930
65,0.898,0.950,1.135,0.944,1.194,1.375,1.375,0.866,1.041,0.899,0.930
66,0.881,1.256,1.179,0.820,1.184,1.375,1.375,0.894,1.049,0.886,0.930
67,0.880,0.870,0.982,0.978,1.033,1.375,1.375,0.958,0.956,0.844,0.930
68,0.853,0.914,1.138,0.996,0.985,1.375,1.375,0.852,1.013,0.856,0.930
69,0.891,0.876,0.959,1.212,1.105,1.375,1.375,0.862,0.874,0.845,0.930
70,0.868,0.871,1.029,1.028,0.919,1.375,1.375,1.057,0.881,0.856,0.930
71,0.914,0.878,1.185,1.001,0.944,1.375,1.375,1.062,0.977,0.978,0.930
72,0.893,0.845,0.934,1.340,1.054,1.375,1.375,0.849,1.086,0.945,0.930
73,0.876,0.924,0.969,1.105,0.979,1.375,1.375,0.806,1.055,0.852,0.930
74,0.883,0.849,0.963,0.899,1.085,1.375,1.375,0.994,1.012,0.838,0.930
75,0.883,0.963,1.067,0.909,1.308,1.375,1.375,0.955,0.850,0.869,0.930
76,0.925,0.823,0.963,0.905,1.265,1.375,1.375,0.841,1.039,0.927,0.930
