,0,1,2,3
135528.txt,-63.32,-62.11,-57.93,-55.00
135629.txt,-56.94,-59.78,-53.10,-53.91
135730.txt,-53.33,-55.33,-59.32,-59.74
136126.txt,-61.93,-63.60,-63.55,-64.73
136227.txt,-59.31,-62.31,-60.23,-59.09
136631.txt,-57.76,-60.44,-56.70,-58.24
136732.txt,-60.71,-62.81,-60.80,-59.68
137027.txt,-59.86,-62.22,-62.03,-58.05
137229.txt,-62.88,-62.84,-63.57,-62.53
137431.txt,-60.61,-55.49,-60.94,-56.40
137532.txt,-61.99,-56.73,-59.90,-58.46
137633.txt,-53.19,-57.35,-55.22,-52.37
137936.txt,-63.09,-60.17,-62.59,-62.27
138130.txt,-58.67,-61.62,-60.73,-61.86
138332.txt,-56.15,-59.60,-59.17,-57.65
138837.txt,-54.67,-52.70,-59.08,-57.78
139233.txt,-60.07,-59.88,-61.75,-56.51
139435.txt,-59.98,-60.64,-62.93,-64.02
139839.txt,-60.42,-62.51,-61.71,-61.55
140117.txt,-57.81,-57.07,-57.87,-57.40
140319.txt,-59.44,-60.91,-62.30,-61.33
140824.txt,-62.72,-59.76,-55.96,-57.61
140925.txt,-56.73,-57.68,-59.30,-60.63
141119.txt,-58.09,-60.74,-59.63,-58.34
141422.txt,-60.52,-59.71,-63.58,-62.63
141826.txt,-60.24,-59.05,-58.28,-55.99
143224.txt,-51.23,-51.80,-55.97,-54.86
143426.txt,-59.47,-61.30,-59.88,-59.10
143830.txt,-59.17,-60.32,-61.11,-61.52
144125.txt,-50.61,-47.95,-51.15,-53.34
144731.txt,-50.14,-56.10,-54.56,-55.30
144832.txt,-60.42,-60.90,-61.97,-55.49
144933.txt,-57.02,-59.93,-57.93,-60.55
145127.txt,-60.95,-60.88,-61.76,-58.73
145632.txt,-61.33,-61.29,-62.54,-60.31
145834.txt,-53.90,-54.05,-55.42,-59.92
146129.txt,-57.02,-56.03,-64.15,-63.48
146331.txt,-61.26,-63.39,-59.42,-62.42
146432.txt,-59.89,-57.80,-58.12,-60.77
146533.txt,-60.08,-59.18,-58.72,-59.33
146735.txt,-63.96,-63.77,-63.34,-62.93
146836.txt,-58.00,-60.94,-60.92,-59.75
146937.txt,-61.57,-62.17,-63.15,-62.07
147030.txt,-56.13,-59.09,-56.17,-55.56
147636.txt,-58.80,-56.68,-58.15,-60.11
147737.txt,-61.39,-62.22,-62.35,-60.84
148133.txt,-58.61,-60.53,-60.63,-58.56
148335.txt,-63.08,-63.17,-64.37,-64.94
148436.txt,-54.02,-58.67,-58.42,-59.51
148840.txt,-53.29,-60.04,-62.13,-60.75
148941.txt,-58.82,-58.47,-57.68,-54.98
149236.txt,-60.08,-60.85,-59.22,-59.09
149741.txt,-62.10,-62.30,-64.38,-59.70
149842.txt,-58.72,-55.95,-60.18,-56.38
150625.txt,-55.01,-57.17,-57.76,-56.78
150726.txt,-57.89,-59.16,-61.45,-61.59
150928.txt,-56.95,-53.98,-58.92,-58.79
151324.txt,-62.57,-57.15,-63.07,-62.13
151425.txt,-61.13,-60.64,-59.38,-60.48
151728.txt,-57.64,-59.28,-58.05,-59.30
151829.txt,-60.66,-59.88,-58.33,-61.01
151930.txt,-61.31,-60.80,-60.43,-61.15
152225.txt,-57.66,-56.46,-56.38,-55.42
152427.txt,-50.24,-54.15,-53.28,-51.41
152831.txt,-58.44,-61.88,-60.77,-63.19
153025.txt,-54.55,-55.07,-56.65,-55.38
153126.txt,-60.99,-61.15,-60.84,-59.99
153227.txt,-62.77,-61.77,-62.32,-62.16
153631.txt,-53.83,-60.53,-59.94,-61.18
153732.txt,-59.18,-58.34,-59.93,-58.22
153833.txt,-59.44,-57.04,-62.29,-60.11
153934.txt,-58.98,-54.24,-58.72,-56.35
154229.txt,-56.83,-58.75,-57.74,-60.73
154330.txt,-54.40,-59.12,-55.57,-53.52
154532.txt,-62.32,-62.24,-63.18,-59.25
154734.txt,-56.72,-60.00,-61.05,-57.67
154835.txt,-62.56,-59.68,-63.02,-62.86
154936.txt,-61.94,-63.35,-62.53,-61.39
155635.txt,-61.84,-62.52,-62.96,-61.76
155938.txt,-54.24,-54.91,-59.40,-56.19
156031.txt,-59.33,-60.94,-59.62,-55.66
156435.txt,-56.67,-51.58,-51.53,-51.38
156536.txt,-59.89,-62.40,-60.27,-63.66
157437.txt,-54.35,-56.09,-56.54,-51.81
157942.txt,-59.42,-56.57,-57.95,-61.96
158136.txt,-60.56,-60.79,-61.47,-58.99
158338.txt,-62.35,-63.55,-60.38,
158843.txt,-62.50,-63.59,-63.72,
159138.txt,,,,
159340.txt,,,,
159441.txt,,,,
159744.txt,,,,
160729.txt,,,,
160830.txt,,,,
161630.txt,,,,
161832.txt,,,,
162026.txt,,,,
162228.txt,,,,
162733.txt,,,,
162935.txt,,,,
163129.txt,,,,
163331.txt,,,,
163836.txt,,,,
164030.txt,,,,
164131.txt,,,,
164636.txt,,,,
164939.txt,,,,
165032.txt,,,,
165436.txt,,,,
165638.txt,,,,
165941.txt,,,,
166438.txt,,,,
166640.txt,,,,
167036.txt,,,,
167238.txt,,,,
167440.txt,,,,
168139.txt,,,,
168240.txt,,,,
168341.txt,,,,
168745.txt,,,,
168947.txt,,,,
