,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,9.7041e-01,6.3796e-44,,9.6821e-254,1.0961e-164,3.0605e-103,2.1124e-119,1.5980e-40
SVWP,9.7041e-01,,3.4016e-44,,8.6597e-254,1.0513e-164,3.2036e-103,2.1317e-119,7.0809e-41
DCC_joint,6.3796e-44,3.4016e-44,,,2.4574e-278,1.9170e-202,8.0144e-154,1.4968e-168,2.5386e-07
SW_cross_validated,,,,,,,,,
SW_15,9.6821e-254,8.6597e-254,2.4574e-278,,,4.7839e-119,7.6547e-179,3.9096e-172,3.6167e-287
SW_30,1.0961e-164,1.0513e-164,1.9170e-202,,4.7839e-119,,2.4894e-50,1.0930e-38,2.1408e-210
SW_60,3.0605e-103,3.2036e-103,8.0144e-154,,7.6547e-179,2.4894e-50,,1.8862e-03,6.7138e-161
SW_120,2.1124e-119,2.1317e-119,1.4968e-168,,3.9096e-172,1.0930e-38,1.8862e-03,,2.1328e-177
sFC,1.5980e-40,7.0809e-41,2.5386e-07,,3.6167e-287,2.1408e-210,6.7138e-161,2.1328e-177,
