,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,1.40,-6.86,,33.06,14.04,5.56,8.69,93.52
SVWP,1.40,,-5.53,,18.67,6.91,1.78,3.70,50.48
DCC_joint,-6.86,-5.53,,,68.10,37.36,22.43,27.50,293.66
SW_cross_validated,,,,,,,,,
SW_15,33.06,18.67,68.10,,,-28.97,-42.19,-36.66,96.69
SW_30,14.04,6.91,37.36,,-28.97,,-13.45,-8.23,150.64
SW_60,5.56,1.78,22.43,,-42.19,-13.45,,5.02,176.26
SW_120,8.69,3.70,27.50,,-36.66,-8.23,5.02,,161.18
sFC,93.52,50.48,293.66,,96.69,150.64,176.26,161.18,
