,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.11,0.12,0.08,0.04,0.08,0.11,0.11,0.03
SVWP,0.11,,0.39,1.25,2.81,1.29,0.34,0.23,5.98
DCC_joint,0.12,0.39,,3.24,7.27,3.87,1.78,1.35,23.34
SW_cross_validated,0.08,1.25,3.24,,2.62,0.01,1.75,1.82,9.49
SW_15,0.04,2.81,7.27,2.62,,3.04,5.19,4.97,7.74
SW_30,0.08,1.29,3.87,0.01,3.04,,2.03,2.07,12.25
SW_60,0.11,0.34,1.78,1.75,5.19,2.03,,0.22,16.59
SW_120,0.11,0.23,1.35,1.82,4.97,2.07,0.22,,14.21
sFC,0.03,5.98,23.34,9.49,7.74,12.25,16.59,14.21,
