,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.056,0.027,0.567,0.568,0.568,0.568,0.567,0.316,0.654,0.161,0.245,0.391
DCC_bivariate_loop,0.071,0.037,0.159,0.209,0.256,0.271,0.286,0.230,0.229,0.161,0.145,0.187
SW_cross_validated,0.087,0.137,0.167,0.471,0.645,0.621,0.530,0.341,0.286,0.195,0.149,0.330
SW_15,0.206,0.273,0.253,0.250,0.242,0.252,0.247,0.239,0.282,0.256,0.248,0.250
SW_30,0.159,0.198,0.178,0.182,0.191,0.208,0.218,0.198,0.224,0.196,0.186,0.195
SW_60,0.121,0.152,0.123,0.152,0.219,0.306,0.410,0.206,0.207,0.193,0.152,0.204
SW_120,0.111,0.131,0.108,0.301,0.490,0.629,0.673,0.313,0.244,0.206,0.141,0.304
sFC,0.059,0.030,0.569,0.568,0.568,0.570,0.568,0.317,0.655,0.164,0.247,0.392
