,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.027,0.024,0.003,0.002,0.003,0.002,0.001,0.009,0.002,0.008,0.006,0.008
DCC_bivariate_loop,0.017,0.022,0.026,0.027,0.026,0.031,0.028,0.017,0.021,0.010,0.017,0.022
SW_cross_validated,0.036,0.023,0.014,0.012,0.006,0.002,0.005,0.008,0.016,0.018,0.022,0.015
SW_15,0.025,0.011,0.021,0.024,0.021,0.030,0.015,0.018,0.011,0.037,0.019,0.021
SW_30,0.024,0.015,0.014,0.030,0.018,0.017,0.018,0.018,0.018,0.027,0.024,0.020
SW_60,0.019,0.014,0.018,0.037,0.017,0.018,0.010,0.023,0.020,0.010,0.016,0.018
SW_120,0.026,0.022,0.014,0.028,0.009,0.009,0.005,0.016,0.016,0.015,0.015,0.016
sFC,0.038,0.020,0.004,0.003,0.002,0.003,0.002,0.009,0.002,0.007,0.009,0.009
