,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.049,0.050,0.052,0.052,0.052,0.052,0.052,0.051,0.053,0.050,0.051,0.051
DCC_bivariate_loop,0.061,0.061,0.062,0.062,0.062,0.062,0.061,0.062,0.062,0.062,0.062,0.062
SW_cross_validated,0.087,0.088,0.088,0.088,0.089,0.090,0.089,0.088,0.087,0.088,0.088,0.088
SW_15,0.274,0.273,0.273,0.274,0.273,0.274,0.273,0.274,0.273,0.274,0.274,0.274
SW_30,0.191,0.191,0.191,0.191,0.191,0.191,0.190,0.191,0.191,0.191,0.191,0.191
SW_60,0.140,0.140,0.140,0.141,0.140,0.141,0.140,0.141,0.141,0.141,0.141,0.141
SW_120,0.115,0.116,0.116,0.116,0.117,0.118,0.118,0.118,0.117,0.118,0.118,0.117
sFC,0.054,0.055,0.057,0.056,0.057,0.057,0.057,0.056,0.057,0.055,0.056,0.056
