,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.059,0.058,0.568,0.568,0.569,0.569,0.568,0.316,0.654,0.164,0.245,0.394
DCC_bivariate_loop,0.075,0.064,0.167,0.213,0.260,0.277,0.291,0.232,0.240,0.165,0.143,0.193
SW_cross_validated,0.096,0.063,0.203,0.463,0.643,0.623,0.528,0.358,0.230,0.181,0.120,0.319
SW_15,0.266,0.174,0.200,0.208,0.195,0.207,0.210,0.244,0.209,0.258,0.227,0.218
SW_30,0.192,0.127,0.152,0.150,0.146,0.168,0.186,0.196,0.169,0.190,0.162,0.167
SW_60,0.138,0.088,0.108,0.137,0.200,0.289,0.399,0.202,0.171,0.188,0.125,0.186
SW_120,0.122,0.072,0.137,0.303,0.485,0.629,0.679,0.321,0.201,0.192,0.108,0.295
sFC,0.059,0.029,0.569,0.568,0.568,0.570,0.568,0.317,0.654,0.164,0.247,0.392
