,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.027,0.017,0.002,0.003,0.002,0.002,0.001,0.008,0.002,0.004,0.009,0.007
DCC_bivariate_loop,0.017,0.014,0.024,0.028,0.023,0.031,0.029,0.017,0.019,0.010,0.016,0.021
SW_cross_validated,0.032,0.029,0.026,0.011,0.006,0.004,0.004,0.010,0.022,0.018,0.028,0.017
SW_15,0.024,0.033,0.029,0.021,0.025,0.032,0.023,0.023,0.026,0.051,0.024,0.028
SW_30,0.023,0.030,0.027,0.022,0.024,0.036,0.019,0.027,0.031,0.034,0.020,0.027
SW_60,0.018,0.015,0.025,0.033,0.021,0.020,0.011,0.025,0.029,0.015,0.020,0.021
SW_120,0.025,0.020,0.030,0.031,0.010,0.009,0.005,0.012,0.016,0.019,0.016,0.018
sFC,0.038,0.020,0.004,0.003,0.002,0.003,0.002,0.009,0.002,0.007,0.009,0.009
