,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.047,0.048,0.051,0.050,0.050,0.051,0.050,0.049,0.051,0.048,0.049,0.050
DCC_bivariate_loop,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.060,0.059,0.059,0.059,0.059
SW_cross_validated,0.082,0.082,0.082,0.083,0.084,0.084,0.083,0.083,0.082,0.082,0.083,0.083
SW_15,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.216,0.216,0.215,0.215
SW_30,0.163,0.164,0.163,0.164,0.163,0.163,0.163,0.164,0.164,0.164,0.164,0.164
SW_60,0.127,0.128,0.128,0.128,0.127,0.128,0.128,0.129,0.129,0.128,0.128,0.128
SW_120,0.108,0.110,0.111,0.110,0.111,0.112,0.113,0.113,0.112,0.112,0.112,0.111
sFC,0.054,0.055,0.057,0.057,0.057,0.057,0.057,0.056,0.057,0.055,0.056,0.056
