,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,0.857,0.829,0.883,0.991,1.740,0.870,1.062,0.851
1,0.851,0.927,1.101,1.081,0.814,1.122,0.976,0.846
2,0.927,0.821,0.950,1.338,1.146,0.861,0.923,0.858
3,0.807,0.872,0.861,1.034,1.338,0.853,1.109,0.828
4,0.840,0.869,1.160,1.539,0.949,1.160,0.924,0.832
5,0.851,0.817,1.007,1.284,0.871,0.840,0.913,0.831
6,0.905,0.826,1.109,1.518,1.734,0.786,0.946,0.897
7,0.937,0.837,0.998,1.408,0.994,0.857,0.909,0.854
8,0.885,0.847,0.988,1.066,1.299,0.891,0.943,0.834
9,0.819,0.826,0.887,0.980,1.615,0.892,0.892,0.901
10,0.856,0.920,1.169,1.376,1.116,0.824,0.944,0.860
11,0.842,0.969,1.031,0.940,0.808,0.888,0.899,0.869
12,0.877,0.821,0.993,1.179,1.479,0.836,0.881,0.863
13,0.851,0.824,1.038,1.394,1.408,0.820,0.889,0.874
14,0.831,0.915,0.950,1.138,0.953,0.748,0.928,0.885
15,0.862,0.829,0.968,1.130,1.033,0.893,0.929,0.868
16,0.848,0.855,0.966,1.249,1.630,0.816,0.910,0.851
17,0.851,0.924,0.969,1.162,1.182,0.909,0.914,0.871
18,0.760,0.861,0.962,0.848,1.325,0.886,0.917,0.835
19,0.897,0.783,0.957,0.766,1.723,0.835,0.921,0.852
20,0.825,0.829,0.908,1.241,1.015,0.829,0.957,0.846
21,0.846,0.846,0.966,1.124,1.306,0.923,0.896,0.854
22,0.840,0.885,0.866,1.045,1.726,0.778,0.948,0.843
23,0.920,0.878,0.978,0.968,0.991,1.006,0.977,0.844
24,0.855,0.658,0.919,0.959,1.793,0.833,0.996,0.867
25,0.805,0.834,0.989,1.065,1.621,0.880,0.874,0.874
26,0.841,0.852,1.151,0.959,1.336,0.806,0.987,0.847
27,0.852,0.804,0.957,1.100,1.726,0.892,0.959,0.841
28,0.853,0.847,0.974,1.422,1.649,0.823,1.016,0.890
29,0.878,0.859,0.986,0.799,1.387,0.808,0.877,0.869
30,0.888,0.876,1.155,1.028,1.558,0.893,0.890,0.862
31,0.877,0.930,1.094,1.137,1.283,0.831,1.173,0.853
32,0.869,0.866,0.909,1.250,0.897,0.857,0.865,0.868
33,0.850,0.619,1.026,0.900,1.172,0.806,0.938,0.886
34,0.834,0.806,1.057,0.980,1.408,0.881,1.014,0.839
35,0.855,0.839,0.935,1.021,1.307,0.767,0.886,0.806
36,0.801,0.867,1.038,1.006,1.310,0.870,0.891,0.826
37,0.792,0.843,0.952,1.229,1.442,0.824,0.926,0.849
38,0.926,0.833,1.004,1.124,1.550,0.742,0.944,0.802
39,0.853,0.846,1.064,0.911,1.199,0.714,0.971,0.850
40,0.826,0.880,1.112,1.490,1.752,0.824,0.890,0.869
41,0.800,0.844,1.035,0.983,1.033,0.839,0.924,0.814
42,0.854,0.900,1.070,1.258,1.495,0.817,0.925,0.852
43,0.865,0.879,0.972,1.167,0.877,0.898,0.950,0.853
44,0.846,0.838,0.961,1.026,1.069,0.895,0.903,0.831
45,0.836,0.855,0.994,0.861,1.698,0.831,0.966,0.765
46,0.838,0.906,1.134,0.896,1.661,0.888,1.223,0.832
47,0.867,0.821,1.174,1.321,1.438,0.885,0.896,0.874
48,0.807,0.854,0.945,1.187,1.361,0.884,0.968,0.860
49,0.823,0.846,1.005,0.814,1.389,0.862,0.929,0.856
50,0.886,1.024,0.920,1.028,1.605,0.846,0.966,0.822
51,0.822,0.976,0.923,1.246,1.251,0.855,1.118,0.830
52,0.873,0.825,1.123,1.179,1.085,0.886,0.997,0.825
53,0.829,0.844,0.938,1.020,1.638,0.829,1.106,0.888
54,0.857,0.826,0.819,1.216,1.586,0.849,1.071,0.860
55,0.858,0.856,1.072,1.336,1.230,0.870,0.902,0.872
56,0.841,0.849,0.974,1.195,0.837,0.907,1.007,0.850
57,0.859,0.883,0.960,0.944,1.140,0.859,0.970,0.876
58,0.901,0.865,1.032,0.883,1.208,0.897,0.880,0.801
59,0.935,0.848,0.994,1.100,0.988,0.844,0.897,0.875
60,0.840,0.807,0.960,1.064,0.985,0.806,0.976,0.875
61,0.859,0.979,1.213,1.197,1.855,1.021,0.968,0.862
62,0.797,0.886,1.001,1.217,1.281,0.850,0.849,0.873
63,0.903,0.804,1.153,0.983,1.097,0.800,1.060,0.910
64,0.881,0.863,1.071,1.027,1.463,0.822,0.928,0.891
65,0.860,0.891,1.027,0.895,1.684,0.835,0.957,0.872
66,0.836,0.829,0.987,1.200,1.013,0.965,0.964,0.869
