,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,2.158,1.461,0.464,0.427,0.383,0.936,0.698,2.013
1,1.429,0.734,0.412,0.316,0.136,0.608,0.998,1.615
2,1.345,1.582,0.389,0.431,0.261,1.313,0.253,1.423
3,1.328,1.856,0.408,0.369,0.325,1.523,0.619,1.417
4,1.386,2.205,0.612,0.474,0.269,0.478,0.619,1.396
5,1.221,1.526,0.662,0.355,0.168,1.501,0.922,1.602
6,1.114,1.947,0.759,0.537,0.321,1.193,0.657,1.411
7,0.638,1.915,0.510,0.418,0.235,1.476,0.247,1.431
8,1.188,1.586,0.543,0.357,0.274,1.353,0.287,1.864
9,1.548,1.975,0.431,0.379,0.322,1.197,0.499,1.595
10,1.660,1.628,0.495,0.465,0.241,1.931,0.908,1.328
11,1.747,1.655,0.563,0.266,0.225,1.156,0.550,1.901
12,1.461,1.276,0.480,0.382,0.389,0.997,0.608,1.424
13,1.542,1.796,0.801,0.471,0.256,0.506,0.433,0.780
14,1.349,1.761,0.931,0.394,0.206,0.985,0.525,1.774
15,1.526,1.476,0.392,0.392,0.338,1.379,0.912,1.764
16,1.637,1.332,0.500,0.397,0.343,1.136,0.591,1.786
17,1.369,1.438,0.612,0.399,0.282,1.532,0.693,1.324
18,0.113,1.941,0.549,0.285,0.316,1.267,0.596,1.468
19,1.040,1.611,0.378,0.183,0.328,1.447,0.650,1.776
20,1.154,1.042,0.487,0.346,0.192,1.279,1.037,1.561
21,1.427,1.738,0.418,0.332,0.299,1.304,0.751,1.387
22,1.299,1.818,0.486,0.357,0.373,0.959,0.410,1.257
23,0.846,2.122,0.414,0.280,0.178,0.441,0.893,1.407
24,1.312,0.493,0.492,0.296,0.385,1.341,0.348,1.511
25,1.292,1.855,0.557,0.330,0.333,0.722,0.235,1.661
26,1.269,1.718,0.440,0.200,0.200,0.589,0.412,1.846
27,1.481,1.913,0.697,0.394,0.331,0.636,0.343,1.885
28,1.604,2.448,0.359,0.470,0.367,0.209,0.786,1.085
29,1.285,1.444,0.461,0.206,0.304,0.293,0.553,1.216
30,0.982,1.413,0.459,0.321,0.326,1.051,0.567,1.014
31,1.451,1.190,0.466,0.386,0.317,1.554,0.589,1.556
32,1.044,1.833,0.383,0.357,0.189,0.938,0.518,1.206
33,1.376,1.293,0.452,0.330,0.261,0.187,0.743,1.492
34,1.065,0.729,0.496,0.279,0.378,0.975,0.357,1.896
35,1.077,1.528,0.443,0.402,0.320,0.666,0.403,1.342
36,1.210,1.487,0.379,0.387,0.259,1.282,0.496,1.624
37,1.221,1.944,0.552,0.426,0.359,0.100,0.742,1.030
38,1.127,1.457,0.446,0.398,0.307,0.997,1.144,1.202
39,1.803,0.913,0.451,0.244,0.321,0.207,0.518,1.465
40,0.832,1.312,0.562,0.378,0.345,1.360,0.365,1.248
41,1.067,1.791,0.502,0.326,0.195,1.068,0.493,1.383
42,1.120,1.271,0.737,0.493,0.295,1.450,0.570,1.604
43,1.393,0.925,0.547,0.565,0.173,1.365,0.695,1.312
44,1.406,1.709,0.479,0.374,0.273,0.452,0.512,2.077
45,1.419,1.438,0.522,0.235,0.380,1.582,0.972,0.995
46,1.565,0.669,0.573,0.278,0.361,1.046,0.572,0.797
47,1.375,1.594,0.518,0.370,0.331,0.629,0.382,1.854
48,0.951,2.230,0.411,0.419,0.242,1.025,0.899,1.462
49,1.345,1.903,0.454,0.191,0.329,1.545,0.949,2.269
50,0.903,1.271,0.601,0.339,0.419,1.818,0.341,1.392
51,1.149,1.155,0.463,0.503,0.258,2.060,0.436,1.349
52,1.377,1.754,0.418,0.429,0.260,0.904,0.737,1.146
53,1.899,1.738,0.463,0.552,0.321,1.322,0.325,1.909
54,2.224,2.133,0.354,0.322,0.300,1.158,0.424,1.807
55,1.437,2.215,0.620,0.529,0.353,0.366,0.641,1.508
56,1.550,1.560,0.488,0.423,1.446,0.630,0.398,2.209
57,1.264,1.813,0.424,0.363,0.269,1.398,0.845,0.934
58,0.952,1.998,0.366,0.261,0.309,1.461,0.743,0.656
59,1.082,1.994,0.550,0.242,0.227,1.062,0.876,1.053
60,1.631,2.009,0.412,0.365,0.173,1.284,0.797,1.580
61,1.351,0.800,0.549,0.374,0.377,0.532,0.825,1.520
62,1.137,1.896,0.448,0.502,0.322,2.035,0.257,1.389
63,1.649,0.603,0.653,0.360,0.218,0.382,0.430,0.802
64,1.673,1.808,0.639,0.389,0.302,0.830,0.419,1.956
65,1.364,0.632,0.690,0.227,0.315,0.303,0.421,1.581
66,1.455,1.902,0.525,0.359,0.206,1.083,0.743,1.853
67,1.208,1.226,0.573,0.404,0.265,0.916,0.532,1.426
68,1.016,1.289,0.552,0.261,0.342,1.426,0.880,1.585
69,1.668,1.068,0.519,0.298,0.342,0.766,0.791,1.645
70,0.926,1.785,0.453,0.233,0.091,0.493,0.520,1.891
71,1.509,0.550,0.589,0.271,0.248,0.181,0.549,1.966
72,1.248,0.844,0.439,0.256,0.244,1.301,0.309,0.930
73,1.162,1.780,0.631,0.440,0.285,1.390,0.703,1.365
74,2.089,2.288,0.529,0.318,0.307,0.371,0.602,1.196
75,1.180,2.096,0.634,0.284,0.254,1.027,0.770,1.487
76,0.938,0.516,0.605,0.350,0.379,0.864,0.418,1.805
77,1.711,2.392,0.671,0.260,0.226,0.912,0.757,1.494
78,1.515,2.573,0.865,0.249,1.034,1.143,0.666,1.148
79,1.058,1.152,0.516,0.411,0.173,1.144,0.665,1.333
80,1.040,0.742,0.396,0.517,0.353,1.051,0.906,1.488
81,1.439,1.558,0.546,0.412,0.285,1.729,0.642,0.895
82,0.928,0.761,0.543,0.397,0.195,1.343,0.728,1.402
83,1.494,1.854,0.377,0.448,0.369,0.274,0.440,1.329
84,1.324,2.416,0.500,0.545,0.195,0.653,0.510,1.220
85,1.399,2.086,0.581,0.357,0.333,0.910,0.525,1.478
86,1.399,1.889,0.982,0.372,0.248,0.768,0.437,0.751
87,1.223,1.564,0.626,0.250,1.384,1.435,0.713,1.995
88,1.121,1.251,0.474,0.305,0.262,0.817,0.767,1.518
89,1.364,1.904,0.452,0.263,0.276,0.761,0.305,1.428
90,1.018,1.334,0.577,0.281,0.280,1.307,0.903,0.968
91,1.149,1.991,0.736,0.246,0.262,1.252,1.051,1.502
92,1.467,1.491,0.652,0.353,0.391,1.524,0.441,2.028
93,1.627,2.321,0.515,0.309,0.262,1.447,0.495,1.227
94,0.856,1.860,0.414,0.333,0.292,1.412,0.519,1.409
95,0.708,2.036,0.482,0.338,0.295,1.426,0.460,1.465
96,1.029,2.172,0.502,0.345,0.246,1.353,0.552,1.448
97,1.229,1.099,0.884,0.417,0.298,0.494,0.647,1.360
98,1.037,2.280,0.422,0.290,1.697,0.994,0.651,1.440
99,1.451,1.752,0.431,0.232,0.280,1.224,0.333,1.146
100,1.532,0.553,0.686,0.279,0.317,1.413,0.632,2.086
101,0.868,1.491,0.491,0.351,0.203,0.904,0.406,1.427
102,1.010,0.410,0.486,0.433,0.163,1.859,0.793,1.846
103,1.368,1.524,0.540,0.444,0.268,1.501,0.639,1.403
104,1.474,1.699,0.632,0.482,0.273,1.521,0.537,1.722
105,1.392,1.252,0.419,0.460,0.282,1.326,0.671,1.150
106,1.218,0.974,0.468,0.346,0.221,1.756,0.492,1.448
107,1.221,0.841,0.524,0.295,0.303,1.065,0.736,1.390
108,1.632,1.017,0.595,0.361,0.312,0.965,0.401,1.617
109,1.709,1.802,0.453,0.347,0.269,1.229,0.765,1.360
110,1.512,0.786,0.415,0.505,0.320,0.646,0.630,1.063
111,1.703,1.233,0.612,0.434,0.324,1.360,1.010,1.109
112,1.435,1.180,0.426,0.372,0.330,0.415,0.518,1.506
113,2.034,1.471,0.538,0.315,0.362,1.300,0.688,1.971
114,1.216,0.933,0.672,0.409,0.284,0.958,0.910,1.548
115,1.997,1.997,0.475,0.197,0.350,1.486,0.581,2.138
116,1.467,0.603,0.628,0.442,0.348,0.924,0.398,1.601
117,1.321,1.836,0.293,0.218,0.319,1.206,0.640,1.433
118,1.264,1.090,0.639,0.440,0.233,1.367,0.547,1.428
119,1.767,1.866,0.433,0.283,0.315,1.162,0.606,1.651
120,1.277,2.055,0.564,0.282,0.258,1.087,0.643,1.363
121,1.685,1.860,0.505,0.585,0.192,1.509,0.698,1.563
122,1.584,1.539,0.467,0.339,0.350,0.394,0.349,1.247
123,1.218,0.738,0.508,0.468,0.339,1.002,0.532,1.593
124,1.866,1.578,0.405,0.372,0.287,1.205,0.751,1.775
125,1.404,1.462,0.824,0.509,0.176,1.011,0.207,0.493
126,1.712,2.427,0.430,0.331,0.333,1.817,0.556,1.865
127,1.289,1.939,0.697,0.310,0.313,1.639,0.228,1.854
128,1.667,1.908,0.858,0.348,0.207,1.910,0.236,1.194
129,1.211,2.216,0.395,0.453,0.295,1.654,0.726,1.680
130,1.701,1.900,0.417,0.179,0.281,0.824,0.689,1.604
131,1.693,1.642,0.560,0.533,0.350,1.103,0.715,2.111
132,1.024,1.443,0.585,0.437,0.296,1.182,0.736,1.193
133,1.414,1.286,0.733,0.337,0.338,0.839,0.375,1.689
134,0.757,2.124,0.316,0.417,0.323,0.756,0.877,1.158
135,0.959,1.631,0.697,0.358,0.284,0.203,0.340,1.275
136,0.976,1.101,0.364,0.510,0.318,1.372,0.680,1.626
137,1.032,2.379,0.655,0.311,0.318,1.721,0.799,0.502
138,1.076,1.440,0.465,0.334,0.268,0.876,0.464,1.258
139,1.223,1.923,0.730,0.421,1.880,1.111,0.574,1.707
140,1.362,1.395,0.588,0.384,0.242,1.077,0.436,1.973
141,1.738,1.055,0.450,0.226,0.239,1.241,0.530,1.718
142,1.348,1.478,0.980,0.434,0.198,1.689,0.820,1.231
143,1.514,1.656,0.506,0.413,0.248,1.181,0.454,1.012
144,1.233,1.036,0.554,0.417,0.319,0.930,0.481,1.462
145,1.278,1.192,0.593,0.443,0.311,1.290,0.747,1.006
146,1.431,2.198,0.603,0.437,0.320,0.874,0.707,0.917
147,1.565,2.180,0.866,0.354,0.228,0.966,0.983,1.558
148,1.422,1.308,0.459,0.366,0.238,1.162,1.058,1.316
149,1.090,1.041,0.527,0.357,0.247,1.025,0.673,1.235
150,1.244,1.529,0.495,0.248,0.341,1.850,0.885,1.462
151,1.531,1.186,0.561,0.512,0.168,0.928,0.608,1.549
152,1.037,1.064,0.450,0.301,0.316,1.354,0.550,1.226
153,1.135,2.277,0.407,0.321,0.211,1.585,0.942,1.699
154,1.169,1.940,0.697,0.420,0.258,1.281,0.775,1.172
155,0.755,2.117,0.525,0.248,0.327,1.201,0.298,1.211
156,1.323,2.054,0.521,0.469,0.267,1.544,0.604,1.142
157,1.348,1.457,0.434,0.288,0.275,0.227,0.580,1.433
158,0.762,1.491,0.730,0.439,0.359,1.740,1.201,1.249
159,1.035,1.570,0.570,0.327,0.207,0.879,0.298,0.984
160,2.052,1.748,0.855,0.395,0.260,0.648,1.034,1.405
161,1.843,2.035,0.573,0.425,0.305,1.231,0.809,0.747
162,1.822,0.828,0.381,0.288,0.291,1.239,0.675,1.281
163,0.823,1.282,0.442,0.312,0.332,1.289,0.649,1.400
164,1.019,0.316,0.615,0.448,0.150,0.914,0.366,1.843
165,1.557,1.355,0.440,0.427,0.293,1.180,0.664,1.291
166,0.998,1.721,0.371,0.329,0.215,0.941,0.395,1.380
167,1.318,0.762,0.520,0.273,0.394,1.488,0.500,1.247
168,1.167,0.391,0.454,0.460,0.216,0.867,0.493,1.904
169,1.236,2.099,0.889,0.340,0.243,1.556,0.721,1.343
170,1.668,1.826,0.551,0.429,0.235,0.898,0.557,1.030
171,1.459,1.789,0.366,0.358,0.261,0.731,1.205,1.384
172,1.283,1.809,0.551,0.436,0.311,1.229,0.789,1.650
173,0.752,0.747,0.495,0.205,0.214,1.442,0.520,0.814
174,1.679,1.217,0.462,0.270,0.193,1.216,0.453,0.645
175,1.252,1.738,0.751,0.456,0.833,1.146,0.826,1.770
176,1.293,0.753,0.214,0.370,0.272,0.914,0.758,1.780
177,1.363,1.758,0.455,0.352,0.254,1.327,0.582,0.712
178,1.242,1.093,0.486,0.314,0.197,1.515,0.970,1.420
179,1.460,1.434,0.543,0.338,0.220,1.294,0.334,1.504
180,1.580,0.943,0.444,0.312,0.280,1.287,0.379,0.903
181,1.837,1.251,0.440,0.230,0.237,0.525,0.499,1.380
182,1.610,2.100,0.576,0.203,0.271,1.533,0.619,1.790
183,0.994,1.861,0.289,0.303,0.236,1.018,1.101,1.472
184,1.739,1.298,0.634,0.523,0.296,1.133,0.590,1.935
185,1.832,1.968,0.533,0.344,0.196,1.184,0.790,1.480
186,0.766,1.847,0.420,0.463,0.362,1.072,0.325,1.307
187,1.232,2.085,0.412,0.233,0.161,0.640,0.892,0.717
188,0.707,1.842,0.675,0.436,0.317,1.507,0.423,1.011
189,1.367,0.951,0.554,0.483,0.261,1.628,0.501,1.550
190,1.182,2.299,0.487,0.224,0.274,0.717,0.411,1.932
191,1.118,0.378,0.515,0.473,0.356,1.211,0.684,1.302
192,0.989,1.334,0.514,0.394,0.254,1.611,0.458,2.029
193,1.514,1.435,0.317,0.409,0.281,1.202,0.398,1.414
194,0.669,1.966,0.608,0.306,0.264,1.989,0.388,1.233
195,0.718,1.544,0.505,0.462,0.310,1.592,0.488,0.978
196,1.093,0.404,0.755,0.310,0.238,1.092,0.943,1.586
197,1.830,1.092,0.482,0.323,0.339,1.698,0.672,0.892
198,1.433,0.881,0.596,0.286,0.230,0.973,0.789,1.245
199,1.185,1.429,0.552,0.368,0.337,1.233,0.519,1.095
