,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,0.839,0.820,0.899,1.176,1.723,0.879,0.993,0.841
1,0.828,0.897,1.097,1.132,0.954,1.068,0.951,0.830
2,0.919,0.839,0.974,1.443,1.149,0.856,0.866,0.840
3,0.837,0.870,0.881,1.402,1.308,0.842,1.015,0.850
4,0.822,0.861,1.003,0.916,1.142,0.774,0.921,0.853
5,0.854,1.054,1.020,1.323,1.606,0.850,0.904,0.840
6,0.877,0.836,0.900,1.486,0.815,0.877,0.888,0.859
7,0.932,0.812,0.978,1.305,0.987,0.850,0.906,0.852
8,0.885,0.860,0.992,1.049,0.949,0.898,1.293,0.846
9,0.832,0.810,0.876,0.916,1.661,0.900,0.902,0.879
10,0.853,0.906,1.149,1.425,1.220,0.819,0.997,0.856
11,0.835,0.916,0.998,1.110,1.201,0.951,0.914,0.862
12,0.840,0.834,0.990,1.158,1.250,0.871,0.891,0.870
13,0.792,1.035,0.950,1.259,1.339,0.783,0.947,0.979
14,0.828,0.883,0.827,1.173,1.302,0.789,1.138,0.879
15,0.969,0.824,1.006,1.008,0.917,0.839,0.918,0.912
16,0.838,1.059,0.959,0.837,1.582,0.828,1.057,0.846
17,0.848,0.918,1.012,1.221,0.996,0.871,0.899,0.877
18,0.807,0.850,0.922,0.991,1.151,0.876,0.914,0.796
19,0.906,0.786,0.963,0.806,0.862,0.819,0.914,0.833
20,0.822,0.855,0.907,1.325,1.339,0.742,1.053,0.825
21,0.839,0.717,0.978,0.954,1.138,0.912,0.897,0.847
22,0.838,0.862,0.978,1.050,1.717,0.967,0.916,0.783
23,0.912,0.835,1.053,1.503,1.064,1.158,0.944,0.784
24,0.866,0.917,1.124,1.184,0.854,0.830,0.852,0.846
25,0.814,0.735,1.026,0.931,1.536,0.846,0.901,0.886
26,0.801,0.827,1.150,1.268,1.099,0.831,0.835,0.862
27,0.822,0.842,1.097,1.173,1.820,0.878,0.947,0.850
28,0.860,0.829,1.068,0.930,1.671,0.819,0.930,0.901
29,0.871,0.864,0.940,1.059,1.395,0.706,0.870,0.839
30,0.894,0.856,1.122,0.962,0.845,0.921,0.892,0.861
31,0.872,0.896,1.074,1.099,1.266,0.845,1.630,0.856
32,0.857,0.877,1.185,0.950,1.020,0.843,0.890,0.840
33,0.846,0.837,1.058,0.681,0.949,0.925,0.946,0.970
34,0.820,0.947,1.117,1.051,1.562,0.893,0.833,0.826
35,0.851,0.811,1.131,0.953,1.759,0.765,0.991,0.841
36,0.763,0.775,1.087,0.998,1.053,0.872,0.895,0.828
37,0.844,0.779,1.032,1.089,0.829,0.822,0.941,0.835
38,0.959,0.779,1.008,1.089,1.153,1.067,0.988,0.847
39,0.839,0.848,0.982,0.802,0.933,0.891,0.951,0.847
40,0.872,0.845,0.972,1.362,1.378,0.792,0.969,0.840
41,0.908,0.816,0.939,1.124,0.948,0.850,0.914,0.854
42,0.857,0.909,0.985,1.237,1.174,0.815,1.033,0.782
43,0.865,0.874,0.886,1.151,0.850,0.885,1.087,0.878
44,0.840,0.837,0.968,1.176,0.963,0.874,0.977,0.820
45,0.838,0.860,0.813,1.138,1.703,0.785,0.964,0.878
46,0.811,0.839,0.962,0.761,1.332,0.850,1.143,1.099
47,0.849,0.971,0.895,1.365,1.407,0.934,0.926,0.769
48,0.781,0.828,0.945,0.936,1.179,0.923,1.211,0.839
49,0.774,0.854,1.027,0.824,1.215,0.732,0.850,0.857
50,0.853,0.958,1.037,0.973,1.672,0.842,0.916,0.815
51,0.859,0.978,1.049,1.264,1.035,0.839,0.851,0.813
52,0.866,0.804,1.096,1.336,1.367,0.861,1.162,0.837
53,0.788,0.845,0.972,1.190,1.519,0.797,0.889,0.886
54,0.857,0.806,0.902,0.965,1.500,0.836,1.091,0.848
55,0.851,0.840,1.206,1.205,1.030,0.746,0.893,0.807
56,0.833,0.823,0.982,0.961,0.835,1.055,0.949,0.834
57,0.799,0.875,1.046,1.064,1.075,0.855,0.974,0.864
58,0.894,0.851,0.961,0.982,0.999,0.814,0.938,0.787
59,0.809,0.848,1.000,1.086,0.887,0.827,0.989,0.857
60,0.837,0.822,0.925,0.972,1.645,0.831,0.892,0.685
61,0.796,0.861,0.996,0.922,0.851,0.981,0.970,0.863
62,0.821,0.925,0.960,1.187,1.131,0.830,1.078,0.880
63,0.874,0.859,0.922,0.891,0.725,0.848,1.017,0.950
64,0.872,0.844,0.906,0.968,1.250,0.800,0.935,0.893
65,0.865,0.848,1.076,1.017,1.697,0.954,1.258,0.844
66,0.825,0.831,1.038,1.140,1.169,0.945,0.963,0.865
67,0.821,0.834,1.028,1.034,1.032,0.864,0.899,0.853
68,0.842,0.855,0.898,0.840,1.341,0.857,1.079,0.859
69,0.872,0.908,0.959,0.922,1.424,0.789,1.029,0.843
70,0.830,0.903,1.190,1.206,0.898,0.912,0.868,0.834
71,0.771,0.965,1.118,1.141,1.045,1.082,1.134,0.859
72,0.834,0.990,1.092,1.252,1.073,0.844,1.023,0.849
73,0.862,0.830,0.921,1.202,1.447,0.853,0.967,0.997
74,0.839,0.819,0.920,1.169,0.964,0.859,0.961,0.614
75,0.829,0.820,0.973,0.963,0.978,1.207,0.985,0.855
