,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.115,0.051,0.115,0.104,0.136,0.117,0.134,0.114,0.145,0.121,0.108,0.111,0.138,0.122
1,0.115,0.000,0.119,0.142,0.126,0.140,0.117,0.027,0.124,0.075,0.149,0.092,0.131,0.139,0.136
2,0.051,0.119,0.000,0.115,0.091,0.145,0.113,0.140,0.130,0.150,0.099,0.142,0.135,0.132,0.145
3,0.115,0.142,0.115,0.000,0.114,0.144,0.139,0.139,0.139,0.147,0.121,0.133,0.142,0.131,0.128
4,0.104,0.126,0.091,0.114,0.000,0.118,0.066,0.133,0.111,0.131,0.080,0.090,0.099,0.118,0.108
5,0.136,0.140,0.145,0.144,0.118,0.000,0.104,0.134,0.135,0.133,0.150,0.145,0.128,0.137,0.161
6,0.117,0.117,0.113,0.139,0.066,0.104,0.000,0.128,0.135,0.145,0.112,0.097,0.087,0.127,0.149
7,0.134,0.027,0.140,0.139,0.133,0.134,0.128,0.000,0.119,0.126,0.152,0.096,0.126,0.146,0.134
8,0.114,0.124,0.130,0.139,0.111,0.135,0.135,0.119,0.000,0.127,0.114,0.136,0.128,0.132,0.142
9,0.145,0.075,0.150,0.147,0.131,0.133,0.145,0.126,0.127,0.000,0.133,0.123,0.135,0.113,0.131
10,0.121,0.149,0.099,0.121,0.080,0.150,0.112,0.152,0.114,0.133,0.000,0.143,0.128,0.143,0.133
11,0.108,0.092,0.142,0.133,0.090,0.145,0.097,0.096,0.136,0.123,0.143,0.000,0.139,0.118,0.129
12,0.111,0.131,0.135,0.142,0.099,0.128,0.087,0.126,0.128,0.135,0.128,0.139,0.000,0.103,0.124
13,0.138,0.139,0.132,0.131,0.118,0.137,0.127,0.146,0.132,0.113,0.143,0.118,0.103,0.000,0.134
14,0.122,0.136,0.145,0.128,0.108,0.161,0.149,0.134,0.142,0.131,0.133,0.129,0.124,0.134,0.000
