,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.63,2.71,0.30,1.95,0.19,1.17,8.97,9.18
DCC_joint,,2.63,,0.08,2.60,1.27,3.11,1.79,9.54,10.17
DCC_bivariate_loop,,2.71,0.08,,2.69,1.38,3.22,1.89,9.72,10.41
SW_cross_validated,,0.30,2.60,2.69,,1.84,0.15,0.95,10.05,10.39
SW_15,,1.95,1.27,1.38,1.84,,2.31,0.86,13.51,15.03
SW_30,,0.19,3.11,3.22,0.15,2.31,,1.22,12.02,12.61
SW_60,,1.17,1.79,1.89,0.95,0.86,1.22,,10.48,11.00
SW_120,,8.97,9.54,9.72,10.05,13.51,12.02,10.48,,0.12
sFC,,9.18,10.17,10.41,10.39,15.03,12.61,11.00,0.12,
