,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,1.619,2.440,0.694,0.348,0.296,0.367,0.371,1.920
1,1.530,2.264,0.358,0.234,0.219,0.868,0.334,1.629
2,1.482,2.093,0.849,0.273,0.222,1.382,0.396,1.618
3,1.356,1.950,0.595,0.269,0.246,0.472,0.381,1.716
4,1.461,2.285,0.579,0.277,0.242,1.673,0.330,1.823
5,1.044,2.396,0.743,0.323,0.229,1.383,0.271,0.908
6,1.597,2.175,0.430,0.291,0.162,0.268,0.373,1.632
7,1.398,2.570,0.500,0.296,0.215,1.479,0.366,1.706
8,1.651,2.598,0.518,0.324,0.200,1.661,0.376,1.860
9,1.263,1.880,0.537,0.347,0.151,0.625,0.353,1.551
10,1.286,2.590,0.812,0.260,0.252,1.157,0.296,1.579
11,1.150,2.539,0.472,0.311,0.140,0.217,0.334,1.796
12,1.310,1.682,0.574,0.290,0.183,1.353,0.394,1.529
13,1.750,2.245,0.618,0.253,0.143,1.727,0.411,1.847
14,1.582,2.144,0.496,0.190,0.316,0.269,0.302,1.709
15,1.458,2.584,0.670,0.312,0.244,1.287,0.383,1.786
16,1.481,2.236,0.753,0.252,0.175,1.132,0.273,1.582
17,1.119,2.665,0.684,0.291,0.210,0.233,0.329,1.821
18,1.272,2.304,0.726,0.308,0.208,1.875,0.412,1.603
19,1.091,2.546,0.384,0.258,0.253,0.326,0.312,1.518
20,1.430,2.511,0.757,0.296,0.190,1.039,0.393,1.891
21,1.490,2.420,0.652,0.287,0.234,1.527,0.308,1.798
22,1.351,2.624,0.673,0.330,0.225,0.202,0.373,1.781
23,1.480,2.394,0.510,0.317,0.202,1.602,0.518,1.526
24,0.975,2.746,0.409,0.278,0.147,0.971,0.339,1.427
25,1.672,2.541,0.606,0.344,0.244,1.479,0.331,1.887
26,1.193,2.115,0.372,0.302,0.210,1.385,0.394,1.428
27,1.631,2.709,0.573,0.356,0.180,1.237,0.421,1.197
28,1.429,2.567,0.531,0.296,0.233,1.395,0.372,1.331
29,1.497,2.132,0.750,0.281,0.223,0.197,0.440,1.905
30,1.582,2.164,0.497,0.391,0.199,1.279,0.489,1.526
31,1.314,2.430,0.719,0.345,0.264,0.363,0.266,1.741
32,1.600,2.593,0.382,0.314,0.203,1.534,0.341,1.716
33,1.499,2.336,0.723,0.351,0.217,1.010,0.368,1.321
34,0.314,2.773,0.536,0.247,0.250,1.623,0.280,1.541
35,1.188,1.979,0.648,0.175,0.247,0.293,0.381,0.683
36,1.261,1.890,0.527,0.273,0.234,1.335,0.384,1.660
37,1.148,1.828,0.706,0.338,0.296,0.318,0.329,1.537
38,1.739,2.475,0.697,0.306,0.202,0.389,0.364,1.480
39,1.549,2.141,0.347,0.354,0.279,0.345,0.310,0.678
40,0.521,1.709,0.621,0.331,0.222,1.066,0.301,1.561
41,1.489,2.475,0.530,0.367,0.209,1.746,0.400,1.531
42,0.708,1.413,0.806,0.252,0.206,1.458,0.372,1.859
43,1.330,2.673,0.494,0.261,0.206,1.438,0.481,1.930
44,1.534,2.491,0.499,0.325,0.286,1.495,0.340,1.492
45,1.346,2.748,0.764,0.340,0.159,1.014,0.272,1.432
46,0.932,1.940,0.523,0.241,0.207,1.578,0.414,1.754
47,0.451,2.266,0.834,0.235,0.244,0.404,0.288,1.674
48,1.319,2.160,0.584,0.228,0.215,0.200,0.388,1.525
49,1.259,2.218,0.741,0.235,0.276,1.392,0.434,1.558
50,1.362,2.047,0.266,0.350,0.191,1.442,0.419,1.828
51,1.612,1.894,0.318,0.249,0.185,1.746,0.323,1.297
52,1.550,2.388,0.750,0.334,0.340,0.283,0.384,1.088
53,1.254,2.225,0.513,0.224,0.210,0.366,0.346,0.641
54,1.579,2.090,0.670,0.295,0.223,1.524,0.298,0.535
55,1.441,1.800,0.764,0.274,0.241,0.401,0.458,1.314
56,1.225,2.172,0.566,0.292,0.283,1.368,0.392,1.376
57,1.586,1.798,0.499,0.260,0.243,0.305,0.281,1.545
58,0.399,2.540,0.666,0.318,0.239,1.064,0.430,1.191
59,0.992,2.382,0.396,0.365,0.238,1.262,0.416,1.143
60,0.804,2.253,0.708,0.316,0.223,0.641,0.444,1.538
61,1.473,2.400,0.626,0.340,0.236,1.405,0.368,1.590
62,1.322,2.533,0.712,0.321,0.201,0.256,0.427,1.537
63,1.728,2.386,0.755,0.302,0.140,0.748,0.511,1.306
