,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
92,1.345,2.206,0.440,0.183,0.197,0.738,0.406,1.325
93,0.919,2.296,0.399,0.274,0.161,1.184,0.367,1.444
94,1.281,2.463,0.501,0.331,0.208,1.162,0.308,2.534
95,1.577,2.379,0.575,0.287,0.237,1.251,0.348,1.755
96,1.677,2.413,0.667,0.346,0.227,1.507,0.324,1.637
97,0.940,2.727,0.393,0.357,0.289,1.129,0.368,2.071
98,1.507,1.059,0.779,0.299,0.160,0.576,0.349,1.328
99,1.456,2.848,0.684,0.202,0.261,0.305,0.216,1.670
100,1.543,2.905,0.615,0.282,0.154,0.497,0.356,1.614
101,1.478,2.209,0.377,0.262,0.252,0.148,0.254,1.723
102,1.426,2.570,0.477,0.237,0.238,1.099,0.310,0.755
103,1.103,2.480,0.388,0.337,0.203,1.602,0.380,1.662
104,1.943,2.463,0.476,0.284,0.286,0.881,0.347,2.158
105,0.960,2.791,0.581,0.254,0.207,1.339,0.380,1.350
106,1.738,1.298,0.514,0.306,0.231,1.093,0.380,1.700
107,1.455,1.560,0.550,0.342,0.207,1.655,0.398,1.091
108,1.415,0.756,0.554,0.272,0.242,1.225,0.270,0.880
109,1.309,2.782,0.462,0.293,0.192,0.546,0.409,2.014
110,2.041,1.710,0.504,0.340,0.207,0.947,0.333,0.603
111,1.022,2.423,0.489,0.320,0.261,0.784,0.498,1.853
112,1.670,2.119,0.514,0.226,0.218,0.968,0.357,1.296
113,1.137,2.478,0.562,0.379,0.169,1.197,0.314,1.352
114,1.417,1.442,0.701,0.173,0.202,0.417,0.338,1.680
115,1.038,1.427,0.678,0.263,0.219,0.185,0.412,2.009
116,1.557,2.265,0.564,0.316,0.210,0.372,0.366,1.284
117,1.626,1.063,0.549,0.350,0.160,0.790,0.453,1.642
118,1.018,2.587,0.396,0.359,0.201,1.210,0.236,1.686
119,1.303,1.618,0.727,0.304,0.161,1.297,0.423,1.753
120,1.124,2.246,0.471,0.352,0.258,0.509,0.326,1.609
121,1.275,2.078,0.310,0.316,0.131,1.027,0.415,1.783
122,1.110,1.848,0.527,0.256,0.331,1.443,0.300,1.690
123,1.753,1.553,0.623,0.320,0.334,1.389,0.502,1.750
124,1.202,2.185,0.690,0.306,0.229,1.266,0.393,1.058
125,1.446,1.763,0.459,0.324,0.226,1.556,0.350,1.973
126,0.902,2.225,0.788,0.308,0.211,0.681,0.422,2.204
127,1.571,2.737,0.529,0.354,0.243,1.434,0.354,1.969
128,0.972,2.067,0.712,0.234,0.276,0.344,0.355,1.343
129,1.305,1.703,0.484,0.301,0.223,0.929,0.372,1.307
130,1.318,1.693,0.586,0.249,0.252,0.808,0.378,1.815
131,0.947,2.163,0.418,0.378,0.256,0.861,0.359,1.461
132,1.749,2.506,0.803,0.286,0.227,1.186,0.418,2.261
133,0.965,2.605,0.500,0.294,0.141,0.260,0.439,1.712
134,1.317,2.561,0.536,0.253,0.253,0.851,0.363,1.633
135,1.475,2.540,0.431,0.288,0.287,0.292,0.385,1.884
136,1.385,2.340,0.520,0.264,0.261,0.908,0.484,2.048
137,1.974,2.413,0.547,0.211,0.250,1.156,0.326,2.035
138,1.206,2.582,0.447,0.311,0.221,1.599,0.389,1.565
139,1.010,2.740,0.745,0.301,0.230,0.247,0.414,1.901
140,1.281,1.733,0.745,0.255,0.209,1.840,0.411,2.193
141,0.890,1.493,0.433,0.289,0.228,1.874,0.426,1.504
142,1.454,2.223,0.527,0.249,0.230,1.049,0.381,1.876
143,1.535,2.152,0.615,0.250,0.256,0.721,0.373,1.300
144,1.668,2.071,0.613,0.207,0.150,1.453,0.376,1.586
145,1.447,2.289,0.435,0.272,0.290,0.962,0.254,1.306
146,1.780,2.364,0.614,0.263,0.232,1.633,0.412,1.623
147,1.663,2.475,0.513,0.250,0.173,1.073,0.371,2.009
148,1.132,2.438,0.564,0.299,0.258,1.207,0.372,1.590
149,1.235,2.865,0.684,0.325,0.256,1.401,0.355,1.863
150,1.763,2.641,0.483,0.329,0.244,1.082,0.318,1.371
151,1.533,1.726,0.755,0.296,0.229,0.959,0.378,1.303
152,1.114,2.224,0.621,0.323,0.355,1.778,0.469,1.469
153,1.089,2.523,0.623,0.239,0.264,0.175,0.324,2.185
154,1.546,2.899,0.730,0.366,0.222,0.882,0.430,2.143
155,0.896,1.547,0.632,0.377,0.230,0.290,0.395,1.976
156,1.505,2.159,0.406,0.234,0.155,1.161,0.400,1.649
157,1.885,2.627,0.563,0.274,0.266,1.363,0.385,1.501
158,1.964,1.831,0.525,0.296,0.200,0.262,0.381,1.111
159,1.075,2.394,0.428,0.343,0.203,1.324,0.390,1.852
160,1.277,1.852,0.488,0.346,0.194,1.543,0.410,1.126
161,1.163,1.843,0.557,0.277,0.319,0.719,0.447,1.305
162,1.569,2.161,0.429,0.373,0.275,0.463,0.303,1.370
163,1.177,1.987,0.408,0.277,0.174,1.019,0.376,1.697
164,1.544,2.758,0.422,0.262,0.212,0.710,0.377,1.446
165,1.158,1.862,0.562,0.255,0.208,0.248,0.323,1.982
166,2.022,2.111,0.512,0.268,0.320,0.294,0.372,1.575
167,1.475,1.998,0.632,0.330,0.160,0.323,0.348,1.787
168,1.490,1.985,0.274,0.319,0.199,1.368,0.336,1.841
169,1.930,1.798,0.705,0.321,0.156,0.929,0.427,1.654
