,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.428,2.441,0.621,0.203,0.141,0.166,0.166,0.151,0.431,2.140,1.577
1,1.294,2.179,0.587,0.314,0.232,0.166,0.166,0.193,0.331,1.658,1.577
2,1.293,2.143,0.464,0.211,0.180,0.166,0.166,0.290,0.283,0.988,1.577
3,1.160,2.304,0.409,0.194,0.140,0.166,0.166,0.256,0.320,1.922,1.577
4,0.446,1.871,0.343,0.299,0.222,0.166,0.166,0.169,0.271,2.021,1.577
5,1.356,2.200,0.422,0.182,0.201,0.166,0.166,0.148,0.383,1.628,1.577
6,1.521,2.244,0.673,0.188,0.216,0.166,0.166,0.305,0.280,1.481,1.577
7,1.460,1.151,0.701,0.189,0.182,0.166,0.166,0.168,0.360,1.634,1.577
8,1.197,2.530,0.616,0.198,0.210,0.166,0.166,0.238,0.377,1.140,1.577
9,0.631,2.184,0.553,0.209,0.202,0.166,0.166,0.165,0.245,1.524,1.577
10,1.420,1.978,0.656,0.230,0.168,0.166,0.166,0.171,0.449,1.813,1.577
11,1.703,1.627,0.588,0.229,0.180,0.166,0.166,0.290,0.323,1.554,1.577
12,1.486,2.354,0.576,0.304,0.192,0.166,0.166,0.241,0.236,1.836,1.577
13,1.308,2.586,0.581,0.231,0.180,0.166,0.166,0.215,0.366,1.504,1.577
14,1.112,2.292,0.529,0.197,0.162,0.166,0.166,0.182,0.202,1.646,1.577
15,1.422,2.082,0.402,0.170,0.141,0.166,0.166,0.364,0.394,1.724,1.577
16,1.065,2.294,0.456,0.324,0.195,0.166,0.166,0.247,0.296,1.684,1.577
17,1.521,1.528,0.519,0.293,0.171,0.166,0.166,0.345,0.384,1.658,1.577
18,1.083,2.216,0.724,0.256,0.175,0.166,0.166,0.178,0.323,1.037,1.577
19,1.429,2.449,0.479,0.259,0.144,0.166,0.166,0.165,0.361,1.700,1.577
20,1.250,2.308,0.555,0.237,0.178,0.166,0.166,0.141,0.244,1.754,1.577
21,1.293,2.130,0.779,0.176,0.175,0.166,0.166,0.274,0.385,1.717,1.577
22,1.177,1.549,0.526,0.347,0.136,0.166,0.166,0.220,0.183,1.208,1.577
23,1.439,2.561,0.643,0.326,0.164,0.166,0.166,0.170,0.302,1.920,1.577
24,1.118,2.589,0.540,0.191,0.167,0.166,0.166,0.319,0.208,1.254,1.577
25,1.418,2.538,0.723,0.212,0.178,0.166,0.166,0.198,0.367,1.237,1.577
26,0.935,2.064,0.587,0.224,0.203,0.166,0.166,0.181,0.302,1.570,1.577
