,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.448,2.377,0.418,0.182,0.206,0.178,0.178,0.174,0.385,1.980,1.878
1,1.337,1.528,0.438,0.205,0.260,0.178,0.178,0.212,0.323,1.582,1.878
2,1.358,2.003,0.250,0.182,0.173,0.178,0.178,0.231,0.272,0.999,1.878
3,1.403,2.523,0.466,0.249,0.148,0.178,0.178,0.216,0.329,1.736,1.878
4,1.171,1.796,0.612,0.183,0.184,0.178,0.178,0.212,0.242,1.830,1.878
5,1.389,2.221,0.330,0.197,0.238,0.178,0.178,0.182,0.386,1.463,1.878
6,1.274,1.068,0.492,0.180,0.217,0.178,0.178,0.210,0.315,1.491,1.878
7,1.540,1.083,0.390,0.257,0.168,0.178,0.178,1.525,0.392,1.681,1.878
8,1.207,2.021,0.309,0.212,0.161,0.178,0.178,0.187,0.391,1.114,1.878
9,1.419,1.965,0.360,0.215,0.172,0.178,0.178,0.167,0.374,1.449,1.878
10,1.633,1.970,0.384,0.218,0.197,0.178,0.178,0.157,0.400,1.777,1.878
11,1.503,2.086,0.515,0.229,0.153,0.178,0.178,0.315,0.397,1.530,1.878
12,1.496,2.197,0.311,0.308,0.150,0.178,0.178,0.204,0.358,1.855,1.878
13,1.480,1.510,0.586,0.257,0.237,0.178,0.178,0.236,0.288,1.247,1.878
14,1.383,1.578,0.496,0.206,0.133,0.178,0.178,0.187,0.322,1.705,1.878
15,1.499,2.085,0.345,0.226,0.143,0.178,0.178,0.218,0.382,1.727,1.878
16,1.170,2.174,0.470,0.223,0.193,0.178,0.178,0.219,0.283,1.566,1.878
17,1.545,1.536,0.607,0.179,0.179,0.178,0.178,0.325,0.292,1.931,1.878
18,1.177,2.278,0.559,0.215,0.156,0.178,0.178,0.180,0.356,0.936,1.878
19,1.592,1.434,0.644,0.236,0.124,0.178,0.178,0.167,0.352,1.747,1.878
20,1.930,2.296,0.425,0.268,0.197,0.178,0.178,0.183,0.289,1.785,1.878
21,1.371,2.390,0.397,0.240,0.180,0.178,0.178,0.201,0.394,1.624,1.878
22,1.168,2.133,0.521,0.325,0.183,0.178,0.178,1.223,0.292,1.082,1.878
23,1.076,2.499,0.458,0.255,0.217,0.178,0.178,0.182,0.298,1.528,1.878
24,1.462,2.367,0.692,0.215,0.219,0.178,0.178,0.211,0.236,1.854,1.878
25,1.574,2.448,0.383,0.258,0.260,0.178,0.178,0.735,0.365,1.276,1.878
26,0.969,1.932,0.389,0.248,0.172,0.178,0.178,1.191,0.334,1.584,1.878
27,1.126,1.810,0.497,0.265,0.168,0.178,0.178,0.176,0.273,1.488,1.878
28,1.312,2.054,0.509,0.229,0.215,0.178,0.178,0.164,0.344,1.493,1.878
29,1.716,1.740,0.376,0.284,0.181,0.178,0.178,0.256,0.327,1.918,1.878
30,1.048,1.791,0.491,0.270,0.243,0.178,0.178,0.205,0.239,1.860,1.878
31,1.547,2.425,0.403,0.281,0.176,0.178,0.178,1.443,0.266,1.509,1.878
32,1.697,2.288,0.651,0.228,0.146,0.178,0.178,0.200,0.358,1.355,1.878
33,1.606,2.038,0.353,0.219,0.260,0.178,0.178,0.165,0.293,1.786,1.878
34,1.161,2.513,0.353,0.234,0.147,0.178,0.178,0.860,0.299,2.252,1.878
35,1.413,1.691,0.357,0.211,0.151,0.178,0.178,0.810,0.318,1.685,1.878
36,1.537,2.436,0.408,0.273,0.217,0.178,0.178,0.190,0.288,1.659,1.878
37,1.617,1.915,0.556,0.219,0.139,0.178,0.178,0.177,0.316,1.634,1.878
38,1.065,2.504,0.578,0.223,0.162,0.178,0.178,0.228,0.294,1.714,1.878
39,1.546,2.324,0.460,0.189,0.240,0.178,0.178,0.136,0.228,1.706,1.878
40,1.628,2.109,0.347,0.285,0.159,0.178,0.178,0.138,0.407,0.944,1.878
41,0.787,2.311,0.381,0.234,0.223,0.178,0.178,0.298,0.242,1.429,1.878
42,1.367,1.221,0.300,0.225,0.245,0.178,0.178,0.199,0.375,1.492,1.878
43,1.175,2.429,0.558,0.190,0.166,0.178,0.178,0.167,0.352,1.854,1.878
