,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,0.039,0.076,0.076,0.060,0.067,0.072,0.076,0.072,0.075,0.075,0.075,0.069,0.073,0.073,0.074,0.000,0.072,0.061,0.070,0.069,0.072,0.070,0.068,0.059,0.069,0.069,0.054,0.065,0.070,0.065,0.051,0.058,0.063,0.058,0.053,0.055,0.062,0.045,0.053,0.047,0.041,0.041,0.046,0.045,0.048,0.032,0.046,0.029,0.028,0.025
16,0.079,0.083,0.093,0.082,0.086,0.087,0.093,0.085,0.078,0.093,0.084,0.079,0.074,0.082,0.086,0.072,0.000,0.077,0.076,0.072,0.085,0.076,0.082,0.065,0.078,0.073,0.062,0.076,0.079,0.080,0.060,0.059,0.065,0.061,0.060,0.064,0.070,0.047,0.059,0.053,0.044,0.045,0.052,0.050,0.054,0.033,0.049,0.030,0.028,0.025
17,0.066,0.078,0.071,0.068,0.065,0.073,0.076,0.073,0.076,0.077,0.072,0.069,0.058,0.074,0.075,0.061,0.077,0.000,0.070,0.063,0.058,0.068,0.048,0.064,0.068,0.071,0.055,0.067,0.069,0.066,0.052,0.058,0.063,0.058,0.056,0.055,0.063,0.046,0.058,0.048,0.042,0.042,0.049,0.045,0.048,0.031,0.046,0.029,0.028,0.025
18,0.076,0.077,0.078,0.078,0.089,0.076,0.080,0.078,0.077,0.082,0.070,0.071,0.064,0.076,0.068,0.070,0.076,0.070,0.000,0.069,0.077,0.075,0.076,0.064,0.076,0.074,0.059,0.072,0.072,0.072,0.055,0.056,0.065,0.059,0.057,0.059,0.069,0.045,0.059,0.055,0.042,0.044,0.050,0.046,0.049,0.031,0.048,0.029,0.028,0.025
19,0.066,0.076,0.072,0.064,0.061,0.068,0.076,0.070,0.074,0.071,0.068,0.067,0.053,0.069,0.072,0.069,0.072,0.063,0.069,0.000,0.072,0.071,0.069,0.059,0.064,0.066,0.054,0.064,0.063,0.063,0.051,0.058,0.060,0.056,0.055,0.054,0.060,0.044,0.053,0.049,0.042,0.042,0.048,0.045,0.047,0.031,0.044,0.029,0.029,0.025
20,0.081,0.073,0.081,0.076,0.075,0.078,0.081,0.078,0.081,0.081,0.081,0.077,0.071,0.077,0.079,0.072,0.085,0.058,0.077,0.072,0.000,0.077,0.063,0.067,0.074,0.073,0.058,0.070,0.073,0.072,0.053,0.064,0.069,0.063,0.057,0.059,0.067,0.047,0.059,0.052,0.041,0.046,0.051,0.045,0.051,0.032,0.047,0.030,0.029,0.025
21,0.071,0.081,0.081,0.074,0.076,0.075,0.077,0.076,0.079,0.075,0.075,0.075,0.071,0.072,0.076,0.070,0.076,0.068,0.075,0.071,0.077,0.000,0.074,0.060,0.070,0.070,0.054,0.066,0.070,0.074,0.054,0.061,0.057,0.060,0.059,0.056,0.059,0.047,0.056,0.051,0.046,0.049,0.049,0.047,0.050,0.031,0.047,0.029,0.029,0.025
22,0.077,0.075,0.078,0.072,0.067,0.078,0.082,0.078,0.080,0.080,0.080,0.075,0.068,0.077,0.079,0.068,0.082,0.048,0.076,0.069,0.063,0.074,0.000,0.066,0.073,0.074,0.057,0.070,0.072,0.070,0.054,0.062,0.067,0.062,0.059,0.060,0.067,0.047,0.060,0.051,0.042,0.045,0.050,0.046,0.050,0.032,0.048,0.029,0.029,0.025
23,0.059,0.066,0.071,0.066,0.066,0.064,0.068,0.048,0.071,0.067,0.066,0.054,0.063,0.060,0.066,0.059,0.065,0.064,0.064,0.059,0.067,0.060,0.066,0.000,0.062,0.063,0.046,0.058,0.060,0.062,0.053,0.050,0.053,0.051,0.045,0.050,0.058,0.044,0.045,0.042,0.039,0.039,0.042,0.045,0.045,0.031,0.042,0.028,0.027,0.025
24,0.073,0.076,0.082,0.074,0.077,0.076,0.081,0.078,0.075,0.080,0.074,0.075,0.071,0.059,0.080,0.069,0.078,0.068,0.076,0.064,0.074,0.070,0.073,0.062,0.000,0.075,0.056,0.063,0.068,0.062,0.052,0.060,0.063,0.059,0.056,0.058,0.066,0.044,0.056,0.050,0.041,0.045,0.049,0.046,0.049,0.032,0.048,0.029,0.029,0.025
25,0.076,0.076,0.071,0.075,0.077,0.079,0.079,0.080,0.084,0.068,0.076,0.073,0.071,0.077,0.077,0.069,0.073,0.071,0.074,0.066,0.073,0.070,0.074,0.063,0.075,0.000,0.057,0.070,0.075,0.055,0.047,0.059,0.062,0.058,0.058,0.057,0.065,0.045,0.058,0.049,0.041,0.042,0.048,0.046,0.048,0.032,0.045,0.028,0.028,0.025
26,0.056,0.060,0.062,0.057,0.062,0.053,0.055,0.060,0.060,0.059,0.062,0.050,0.057,0.059,0.062,0.054,0.062,0.055,0.059,0.054,0.058,0.054,0.057,0.046,0.056,0.057,0.000,0.055,0.050,0.058,0.047,0.046,0.046,0.045,0.038,0.049,0.049,0.040,0.041,0.040,0.038,0.038,0.042,0.041,0.041,0.030,0.040,0.028,0.027,0.025
27,0.069,0.071,0.077,0.070,0.075,0.073,0.079,0.072,0.080,0.074,0.073,0.071,0.068,0.060,0.074,0.065,0.076,0.067,0.072,0.064,0.070,0.066,0.070,0.058,0.063,0.070,0.055,0.000,0.066,0.064,0.050,0.056,0.059,0.056,0.055,0.051,0.063,0.044,0.055,0.048,0.040,0.042,0.047,0.044,0.047,0.031,0.044,0.029,0.028,0.025
28,0.070,0.075,0.082,0.070,0.075,0.058,0.066,0.075,0.080,0.073,0.075,0.072,0.067,0.069,0.074,0.070,0.079,0.069,0.072,0.063,0.073,0.070,0.072,0.060,0.068,0.075,0.050,0.066,0.000,0.069,0.050,0.056,0.058,0.057,0.054,0.058,0.065,0.045,0.053,0.050,0.040,0.044,0.051,0.044,0.049,0.031,0.041,0.029,0.028,0.025
29,0.071,0.077,0.057,0.070,0.073,0.070,0.073,0.074,0.075,0.056,0.073,0.074,0.071,0.071,0.074,0.065,0.080,0.066,0.072,0.063,0.072,0.074,0.070,0.062,0.062,0.055,0.058,0.064,0.069,0.000,0.048,0.059,0.062,0.056,0.058,0.051,0.066,0.043,0.056,0.047,0.040,0.041,0.050,0.045,0.047,0.032,0.044,0.029,0.029,0.025
30,0.056,0.056,0.050,0.054,0.057,0.051,0.056,0.054,0.051,0.048,0.056,0.054,0.052,0.053,0.055,0.051,0.060,0.052,0.055,0.051,0.053,0.054,0.054,0.053,0.052,0.047,0.047,0.050,0.050,0.048,0.000,0.046,0.046,0.045,0.046,0.046,0.048,0.037,0.046,0.040,0.037,0.036,0.042,0.035,0.038,0.030,0.037,0.028,0.028,0.025
31,0.061,0.065,0.066,0.061,0.065,0.062,0.063,0.062,0.064,0.060,0.063,0.060,0.058,0.059,0.063,0.058,0.059,0.058,0.056,0.058,0.064,0.061,0.062,0.050,0.060,0.059,0.046,0.056,0.056,0.059,0.046,0.000,0.048,0.051,0.048,0.048,0.056,0.041,0.048,0.049,0.039,0.041,0.044,0.041,0.042,0.030,0.043,0.028,0.027,0.025
32,0.064,0.074,0.068,0.065,0.069,0.065,0.067,0.064,0.068,0.064,0.066,0.062,0.064,0.062,0.066,0.063,0.065,0.063,0.065,0.060,0.069,0.057,0.067,0.053,0.063,0.062,0.046,0.059,0.058,0.062,0.046,0.048,0.000,0.046,0.051,0.051,0.054,0.042,0.050,0.051,0.040,0.045,0.046,0.043,0.044,0.031,0.045,0.028,0.028,0.025
33,0.059,0.065,0.064,0.059,0.063,0.062,0.064,0.061,0.065,0.057,0.062,0.062,0.058,0.059,0.062,0.058,0.061,0.058,0.059,0.056,0.063,0.060,0.062,0.051,0.059,0.058,0.045,0.056,0.057,0.056,0.045,0.051,0.046,0.000,0.049,0.047,0.055,0.039,0.047,0.047,0.039,0.041,0.043,0.041,0.042,0.030,0.041,0.028,0.028,0.025
34,0.053,0.055,0.061,0.058,0.059,0.055,0.062,0.058,0.063,0.064,0.057,0.052,0.056,0.057,0.059,0.053,0.060,0.056,0.057,0.055,0.057,0.059,0.059,0.045,0.056,0.058,0.038,0.055,0.054,0.058,0.046,0.048,0.051,0.049,0.000,0.045,0.050,0.041,0.036,0.039,0.038,0.037,0.042,0.041,0.040,0.030,0.040,0.028,0.027,0.025
35,0.058,0.059,0.057,0.060,0.064,0.061,0.053,0.059,0.064,0.059,0.061,0.056,0.057,0.050,0.054,0.055,0.064,0.055,0.059,0.054,0.059,0.056,0.060,0.050,0.058,0.057,0.049,0.051,0.058,0.051,0.046,0.048,0.051,0.047,0.045,0.000,0.053,0.039,0.045,0.042,0.036,0.037,0.039,0.041,0.042,0.029,0.041,0.028,0.028,0.025
36,0.067,0.073,0.070,0.066,0.071,0.066,0.071,0.068,0.070,0.072,0.070,0.061,0.067,0.065,0.069,0.062,0.070,0.063,0.069,0.060,0.067,0.059,0.067,0.058,0.066,0.065,0.049,0.063,0.065,0.066,0.048,0.056,0.054,0.055,0.050,0.053,0.000,0.043,0.051,0.047,0.041,0.043,0.046,0.044,0.046,0.031,0.044,0.029,0.028,0.025
37,0.048,0.048,0.047,0.046,0.050,0.048,0.048,0.047,0.046,0.047,0.047,0.048,0.045,0.046,0.046,0.045,0.047,0.046,0.045,0.044,0.047,0.047,0.047,0.044,0.044,0.045,0.040,0.044,0.045,0.043,0.037,0.041,0.042,0.039,0.041,0.039,0.043,0.000,0.041,0.037,0.033,0.033,0.038,0.034,0.037,0.028,0.035,0.027,0.027,0.025
