,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
13,-0.190,0.121,0.247,-0.084,-0.100,0.271,-0.177,0.305,-0.021,-0.038,-0.203,-0.262,-0.198,1.000,-0.277,-0.103,0.210,-0.077,-0.137,-0.141,-0.019,-0.132,-0.064,0.253,0.408,0.094,0.074,0.330,0.282,0.175,-0.150,-0.200,-0.193,-0.191,0.192,0.365,-0.153,-0.015,0.176,0.010,-0.025,0.032,0.239,-0.161,0.077,0.055,-0.105,0.024,0.091,0.014
14,-0.005,-0.136,-0.393,-0.069,-0.034,0.027,0.395,-0.382,-0.101,0.383,0.431,0.293,0.231,-0.277,1.000,-0.004,-0.160,0.089,0.365,0.046,-0.033,-0.024,-0.024,-0.187,-0.090,0.183,0.134,-0.034,0.191,-0.157,0.104,0.017,-0.074,-0.004,-0.131,-0.341,-0.026,0.041,-0.023,0.073,-0.043,-0.013,-0.137,0.093,-0.055,-0.138,-0.023,-0.036,-0.126,-0.022
15,0.597,-0.103,-0.064,0.355,0.332,-0.151,0.066,-0.144,0.139,-0.076,0.163,0.110,0.063,-0.103,-0.004,1.000,0.134,0.350,-0.081,0.063,0.119,0.017,0.272,-0.168,-0.038,0.057,0.009,-0.061,0.020,-0.109,-0.054,-0.063,-0.049,-0.015,-0.158,-0.136,0.065,-0.097,-0.240,0.003,-0.046,0.134,-0.242,-0.089,0.062,-0.053,0.010,-0.030,0.032,-0.066
16,-0.018,0.176,0.039,-0.004,-0.119,0.047,0.073,0.220,0.320,0.079,-0.083,-0.114,-0.276,0.210,-0.160,0.134,1.000,-0.105,-0.247,-0.185,-0.051,-0.211,-0.034,0.210,-0.193,0.309,0.118,0.024,0.070,-0.156,-0.000,-0.271,-0.262,-0.255,0.069,0.058,-0.115,-0.065,-0.116,0.139,-0.014,0.183,0.062,-0.138,0.099,0.080,0.053,-0.003,0.117,-0.023
17,0.359,0.088,-0.205,0.274,0.430,-0.151,0.157,-0.144,-0.124,0.013,0.234,0.208,0.386,-0.077,0.089,0.350,-0.105,1.000,0.148,0.267,0.413,0.096,0.553,-0.142,0.007,0.008,-0.047,0.011,-0.022,-0.034,-0.052,0.035,0.076,0.105,-0.158,-0.191,0.059,-0.055,-0.107,-0.113,-0.062,0.030,-0.213,0.031,-0.070,-0.151,-0.015,0.010,-0.058,-0.034
18,-0.021,-0.146,-0.200,-0.032,0.073,-0.133,0.181,-0.078,-0.240,0.055,0.334,0.262,0.396,-0.137,0.365,-0.081,-0.247,0.148,1.000,0.163,0.015,0.075,0.033,-0.136,-0.023,0.020,-0.108,-0.035,-0.073,-0.005,0.064,0.272,0.104,0.213,-0.148,-0.121,-0.024,-0.005,-0.034,0.046,-0.020,-0.094,-0.078,0.123,-0.117,-0.157,-0.027,-0.021,-0.112,-0.014
19,0.303,-0.213,-0.032,0.298,0.408,-0.191,0.001,-0.139,-0.035,-0.177,0.239,0.186,0.432,-0.141,0.046,0.063,-0.185,0.267,0.163,1.000,0.109,0.129,0.184,-0.232,-0.077,-0.148,-0.170,0.071,-0.184,0.204,-0.103,0.199,0.235,0.266,-0.214,-0.065,0.225,-0.138,-0.136,-0.170,-0.058,-0.170,-0.107,0.050,-0.173,-0.159,-0.059,-0.014,-0.084,-0.034
20,0.083,0.337,-0.083,0.183,0.266,-0.054,0.002,-0.121,-0.165,0.042,-0.015,0.037,0.220,-0.019,-0.033,0.119,-0.051,0.413,0.015,0.109,1.000,0.002,0.462,-0.055,0.030,-0.047,0.022,-0.005,-0.046,-0.008,0.067,-0.025,0.025,-0.005,0.065,-0.014,-0.047,0.001,0.071,-0.008,0.045,0.044,-0.023,0.086,-0.012,-0.060,0.031,0.013,-0.031,-0.001
21,0.179,-0.167,0.038,0.061,0.020,-0.036,-0.050,-0.029,0.011,-0.220,-0.037,0.243,0.043,-0.132,-0.024,0.017,-0.211,0.096,0.075,0.129,0.002,1.000,0.026,-0.262,0.090,-0.161,-0.243,-0.142,-0.122,0.128,-0.167,0.317,0.409,0.367,-0.155,-0.095,0.352,-0.070,-0.156,-0.210,-0.046,-0.066,-0.177,-0.102,-0.117,-0.126,0.024,-0.027,-0.089,-0.040
22,0.240,0.271,-0.136,0.259,0.388,-0.148,0.058,-0.096,-0.124,0.021,0.079,0.093,0.275,-0.064,-0.024,0.272,-0.034,0.553,0.033,0.184,0.462,0.026,1.000,-0.053,-0.022,-0.021,-0.040,-0.001,-0.052,-0.044,0.024,0.001,0.051,0.037,-0.063,-0.073,0.022,-0.043,-0.042,-0.038,0.003,0.039,-0.151,0.072,-0.049,-0.092,0.010,0.004,-0.020,-0.021
