,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.028,0.034,0.034,0.060,0.031,0.023,0.034,0.032,0.027,,0.032
DCC_joint,0.023,0.035,0.010,0.007,0.004,0.009,0.005,0.015,0.017,0.030,0.032,0.017
DCC_bivariate_loop,0.023,0.032,0.033,0.014,0.027,0.031,0.027,0.026,0.042,0.033,0.030,0.029
SW_cross_validated,0.020,0.024,0.028,0.029,0.027,0.024,0.026,0.025,0.030,0.025,0.039,0.027
SW_15,0.023,0.023,0.023,0.021,0.029,0.029,0.022,0.025,0.032,0.026,0.023,0.025
SW_30,0.022,0.031,0.019,0.028,0.026,0.025,0.023,0.027,0.031,0.025,0.030,0.026
SW_60,0.026,0.020,0.034,0.023,0.038,0.027,0.021,0.032,0.046,0.033,0.031,0.030
SW_120,0.032,0.020,0.041,0.028,0.018,0.014,0.026,0.021,0.035,0.033,0.042,0.028
sFC,0.032,0.038,0.011,0.002,0.008,0.008,0.006,0.019,0.009,0.014,0.035,0.017
