,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,,,,,,,,,,
DCC_bivariate_loop,,,,,,,,,,,,
SW_cross_validated,,,0.004,0.046,0.085,0.031,0.074,0.055,0.011,0.030,0.127,0.051
SW_15,,,0.008,0.008,0.012,0.011,0.010,0.023,0.010,0.041,0.025,0.017
SW_30,,,0.006,0.009,0.008,0.007,0.010,0.018,0.009,0.046,0.035,0.016
SW_60,,,0.005,0.007,0.016,0.021,0.023,0.026,0.009,0.035,0.046,0.021
SW_120,,,0.006,0.018,0.046,0.046,0.042,0.023,0.009,0.029,0.117,0.037
sFC,,,,,,,,,,,,
