,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.043,0.127,0.131,0.155,0.200,0.348,0.370,0.216,0.183,0.144,,0.192
DCC_joint,0.031,0.207,0.349,0.352,0.355,0.356,0.355,0.211,0.391,0.145,0.203,0.269
DCC_bivariate_loop,0.033,0.213,0.206,0.215,0.233,0.240,0.266,0.196,0.246,0.149,0.177,0.198
SW_cross_validated,0.106,0.107,0.154,0.291,0.373,0.407,0.360,0.243,0.184,0.148,0.164,0.231
SW_15,0.267,0.308,0.303,0.298,0.289,0.274,0.290,0.294,0.306,0.276,0.299,0.291
SW_30,0.195,0.227,0.230,0.220,0.201,0.178,0.211,0.222,0.233,0.213,0.214,0.213
SW_60,0.163,0.173,0.168,0.155,0.172,0.225,0.290,0.185,0.202,0.179,0.175,0.190
SW_120,0.130,0.135,0.147,0.216,0.324,0.402,0.449,0.226,0.187,0.176,0.187,0.234
sFC,0.046,0.052,0.366,0.356,0.363,0.360,0.358,0.207,0.418,0.114,0.182,0.257
