,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.022,0.033,0.031,0.041,0.056,0.029,0.022,0.047,0.029,0.028,,0.034
DCC_joint,0.017,0.024,0.007,0.005,0.003,0.006,0.004,0.007,0.013,0.010,0.010,0.010
DCC_bivariate_loop,0.017,0.024,0.014,0.012,0.019,0.016,0.028,0.018,0.032,0.015,0.019,0.019
SW_cross_validated,0.020,0.033,0.016,0.035,0.028,0.023,0.025,0.025,0.020,0.023,0.043,0.027
SW_15,0.010,0.017,0.021,0.020,0.026,0.021,0.023,0.024,0.030,0.023,0.024,0.022
SW_30,0.012,0.029,0.015,0.024,0.024,0.013,0.020,0.018,0.030,0.026,0.018,0.021
SW_60,0.022,0.017,0.018,0.023,0.032,0.023,0.017,0.018,0.028,0.033,0.022,0.023
SW_120,0.033,0.031,0.024,0.016,0.019,0.014,0.019,0.021,0.026,0.055,0.054,0.028
sFC,0.033,0.038,0.011,0.002,0.008,0.008,0.006,0.020,0.009,0.014,0.035,0.017
