,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.087,0.091,0.089,0.089,0.090,0.091,0.093,0.091,0.092,0.092,,0.091
DCC_joint,0.049,0.053,0.058,0.057,0.059,0.060,0.058,0.051,0.060,0.050,0.051,0.055
DCC_bivariate_loop,0.060,0.064,0.063,0.062,0.064,0.065,0.063,0.062,0.064,0.062,0.061,0.063
SW_cross_validated,0.126,0.124,0.125,0.120,0.130,0.127,0.125,0.124,0.122,0.124,0.121,0.124
SW_15,0.265,0.266,0.266,0.265,0.265,0.266,0.266,0.266,0.267,0.266,0.265,0.266
SW_30,0.195,0.198,0.195,0.194,0.196,0.193,0.195,0.193,0.196,0.193,0.193,0.195
SW_60,0.159,0.160,0.158,0.159,0.162,0.157,0.162,0.157,0.161,0.160,0.160,0.160
SW_120,0.145,0.141,0.138,0.139,0.144,0.141,0.146,0.142,0.142,0.141,0.143,0.142
sFC,0.077,0.074,0.082,0.079,0.080,0.082,0.082,0.076,0.083,0.074,0.075,0.079
