,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.103,0.105,0.104,0.106,0.105,0.105,0.106,0.106,0.108,0.107,,0.106
DCC_joint,0.076,0.075,0.081,0.081,0.081,0.081,0.081,0.076,0.082,0.075,0.075,0.079
DCC_bivariate_loop,0.081,0.080,0.080,0.080,0.081,0.081,0.081,0.080,0.079,0.080,0.080,0.080
SW_cross_validated,0.127,0.127,0.126,0.124,0.133,0.131,0.127,0.126,0.124,0.128,0.123,0.127
SW_15,0.194,0.195,0.195,0.195,0.195,0.196,0.195,0.196,0.196,0.195,0.195,0.195
SW_30,0.166,0.169,0.166,0.166,0.166,0.165,0.166,0.164,0.167,0.165,0.165,0.166
SW_60,0.149,0.150,0.150,0.149,0.151,0.149,0.151,0.147,0.152,0.151,0.150,0.150
SW_120,0.144,0.139,0.137,0.140,0.141,0.141,0.146,0.140,0.141,0.141,0.143,0.141
sFC,0.077,0.074,0.082,0.079,0.080,0.082,0.082,0.077,0.083,0.074,0.075,0.079
