,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,127,117,135,53,53,23,177
1,165,107,49,55,105,41,125
2,79,49,85,39,55,67,73
3,163,107,55,47,39,93,71
4,125,175,141,41,79,31,157
5,89,135,97,89,51,131,179
6,119,151,127,85,51,67,35
7,73,79,93,95,35,51,111
8,119,61,99,51,53,89,145
9,65,41,77,75,77,163,63
10,47,91,39,61,83,81,101
11,153,89,81,71,31,123,127
12,89,145,137,59,55,27,123
13,179,165,47,121,39,89,103
14,35,31,139,113,71,73,147
15,63,165,113,49,63,53,135
16,31,103,119,71,67,33,47
17,49,75,69,73,39,179,71
18,117,155,169,95,61,37,117
19,43,63,159,43,93,43,61
20,73,141,55,93,63,135,65
21,73,41,43,71,35,101,59
22,151,175,61,47,63,53,63
23,169,95,133,139,55,31,73
24,51,159,95,73,41,37,79
25,53,105,43,49,55,53,93
26,179,155,65,61,29,31,117
27,177,71,165,43,63,37,53
28,115,179,135,89,79,89,41
29,113,103,57,63,51,59,177
30,97,73,75,83,43,105,69
31,49,149,151,37,129,65,49
32,37,41,27,53,67,45,53
33,45,69,75,55,43,117,109
34,147,59,119,81,59,73,51
35,69,179,117,103,27,91,83
36,51,153,167,43,69,143,169
37,81,71,85,109,47,49,49
38,55,81,73,43,51,103,143
39,73,149,81,97,37,163,135
40,53,179,89,53,89,53,33
41,81,85,83,51,59,93,93
42,153,89,145,59,71,161,169
43,171,113,73,35,33,53,75
44,121,63,97,57,45,45,67
45,157,177,53,73,87,79,47
46,55,57,91,53,41,99,179
47,153,89,137,87,65,91,67
48,125,57,47,79,43,113,75
49,47,63,53,57,45,139,109
50,111,137,149,93,73,89,69
51,59,139,71,101,49,107,81
52,55,87,53,47,57,29,165
53,179,133,115,77,47,33,173
54,81,87,151,91,39,177,71
55,117,41,77,89,41,35,41
56,107,169,111,59,121,47,99
57,35,173,39,51,73,157,107
58,83,69,45,49,21,55,75
59,117,179,177,59,59,51,131
60,101,37,73,35,47,163,63
61,105,51,107,61,97,123,67
62,103,39,33,75,43,61,121
63,127,59,59,81,81,45,107
64,119,77,111,145,53,75,89
65,179,81,111,119,71,37,135
66,57,179,135,115,59,113,165
67,105,171,39,75,65,33,167
68,151,81,155,117,49,177,121
69,139,63,41,43,41,177,77
70,71,97,115,37,69,35,179
71,179,73,55,103,49,55,69
72,165,75,81,35,49,121,61
73,81,55,31,55,49,61,63
74,87,71,103,83,49,45,43
75,179,113,43,27,31,179,157
76,111,53,85,79,91,43,39
77,109,97,69,63,83,137,79
78,123,71,49,133,31,131,161
79,167,43,95,91,33,163,43
80,53,119,157,115,57,53,153
81,163,147,79,93,65,77,59
82,161,179,119,47,51,53,175
83,179,83,163,135,145,97,115
84,65,63,87,93,45,81,103
85,75,53,137,63,59,89,175
86,177,155,73,115,61,131,49
87,27,51,143,57,29,99,55
88,75,131,89,77,47,103,41
89,139,179,107,31,65,47,103
90,79,67,145,37,63,47,73
91,133,83,99,51,37,85,59
92,139,77,79,91,57,73,77
93,89,153,51,55,79,51,119
94,97,115,67,79,45,69,45
95,115,89,45,45,73,103,141
96,73,155,57,71,45,45,143
97,107,85,61,39,89,65,123
98,91,81,55,85,25,55,57
99,103,139,101,41,93,151,77
