,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
100,31,179,65,49,119,101,65
101,65,107,125,71,41,159,117
102,59,41,53,89,27,43,103
103,171,53,67,63,41,53,121
104,57,85,73,75,71,71,163
105,177,149,115,67,35,49,95
106,119,47,79,67,83,59,85
107,49,33,61,77,91,31,115
108,115,109,117,47,71,31,171
109,163,83,145,77,63,59,97
110,93,43,157,135,51,59,45
111,77,71,93,109,69,163,85
112,139,41,89,111,53,111,95
113,157,107,71,49,57,27,99
114,81,91,45,95,53,121,163
115,49,179,83,41,61,49,39
116,103,81,129,77,47,143,57
117,169,173,53,69,83,179,125
118,177,95,179,111,39,155,89
119,155,93,37,121,73,63,105
120,47,79,159,85,51,87,75
121,73,33,125,39,71,81,113
122,109,55,59,91,37,95,95
123,89,141,85,37,37,45,55
124,61,141,101,69,35,43,163
125,67,55,49,95,55,61,175
126,47,117,61,77,59,103,49
127,89,141,135,75,61,45,151
128,91,133,49,47,31,73,179
129,77,89,81,75,37,43,51
130,119,51,61,53,51,45,123
131,93,93,149,51,47,55,119
132,173,85,47,53,55,123,77
133,103,173,111,173,93,163,35
134,149,87,69,81,35,131,77
135,125,137,55,85,49,53,93
136,135,99,29,101,67,81,83
137,53,93,125,45,69,91,119
138,165,103,149,47,27,179,179
139,63,77,153,87,71,61,151
140,39,65,59,71,63,39,149
141,81,67,115,51,51,57,177
142,59,85,43,77,35,59,29
143,161,99,53,75,45,159,55
144,175,65,103,53,57,71,175
145,169,109,115,121,51,95,63
146,105,79,117,73,81,59,147
147,165,57,123,63,33,71,175
148,137,53,53,167,35,111,95
149,155,47,89,57,31,39,179
150,83,171,77,81,67,69,43
151,81,31,63,117,41,95,79
152,83,179,31,23,61,63,123
153,57,63,67,79,33,73,39
154,69,109,79,61,73,113,133
155,39,111,81,47,59,149,57
156,55,129,155,43,43,97,55
157,175,113,45,47,63,135,57
158,81,51,47,37,39,179,65
159,81,97,87,39,81,59,77
160,141,89,71,45,45,63,179
161,135,51,99,41,67,151,95
162,89,131,43,55,55,55,175
163,63,45,39,141,87,59,165
164,117,47,51,63,59,71,63
165,117,61,37,115,59,91,81
166,69,67,89,77,67,55,99
167,61,77,67,87,33,51,179
168,149,73,117,69,51,169,43
169,47,85,43,47,65,27,177
170,157,127,141,43,55,109,65
171,29,87,29,59,45,23,27
172,173,71,65,47,55,65,87
173,147,71,59,75,59,165,179
174,163,161,87,57,41,103,39
175,37,93,63,71,29,139,117
176,169,117,105,47,61,57,81
177,137,79,65,85,113,79,53
178,55,33,85,55,75,59,109
179,87,39,101,51,85,57,67
180,179,111,65,109,59,93,69
181,91,175,95,49,57,61,171
182,79,165,71,41,45,47,55
183,143,133,97,73,47,29,83
184,131,173,117,65,41,179,79
185,35,95,133,77,21,83,91
186,131,89,115,57,49,111,105
187,135,121,107,89,51,33,121
188,107,35,43,75,75,179,161
189,69,113,105,137,67,113,79
190,155,141,57,77,161,59,71
191,85,37,41,103,87,139,135
192,95,89,77,41,61,39,43
193,165,91,45,59,87,41,93
194,35,39,45,33,53,49,171
195,65,41,95,63,49,55,125
196,83,179,57,77,71,179,63
197,179,177,51,57,65,179,179
198,103,139,41,49,49,41,53
199,39,153,75,69,33,41,109
