,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,0.143,0.171,0.208,0.239,0.264,,,0.229,0.220,0.177,,0.206
SVWP,0.139,0.161,0.198,0.231,0.258,,,0.216,0.207,0.170,,0.197
DCC_joint,0.177,0.180,0.198,0.212,0.222,,,0.210,0.209,0.192,,0.200
SW_cross_validated,0.213,0.217,0.224,0.241,0.261,,,0.247,0.242,0.224,,0.234
SW_15,0.370,0.376,0.375,0.375,0.376,,,0.374,0.376,0.374,,0.375
SW_30,0.292,0.297,0.296,0.296,0.298,,,0.299,0.299,0.297,,0.297
SW_60,0.230,0.233,0.232,0.235,0.246,,,0.243,0.240,0.238,,0.237
SW_120,0.193,0.197,0.200,0.226,0.291,,,0.235,0.213,0.206,,0.220
sFC,0.043,0.039,0.257,0.257,0.255,,,0.146,0.294,0.084,,0.172
