,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.058,0.086,0.144,0.238,0.041,0.107,0.112
SVWP,,,0.059,0.099,0.266,0.202,0.037,0.093,0.126
DCC_joint,,,0.022,0.029,0.035,0.084,0.018,0.191,0.063
SW_cross_validated,,,0.047,0.058,0.082,0.200,0.035,0.183,0.101
SW_15,,,0.044,0.044,0.041,0.105,0.038,0.126,0.066
SW_30,,,0.052,0.054,0.055,0.147,0.045,0.160,0.085
SW_60,,,0.054,0.057,0.071,0.170,0.041,0.164,0.093
SW_120,,,0.042,0.071,0.125,0.120,0.031,0.141,0.088
sFC,,,,,,,,,
