,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.092,0.134,0.118,0.278,0.104,0.108,0.108,1.345,0.241,1.423,0.408
1,1.592,1.294,0.293,0.257,0.204,0.108,0.108,0.537,0.291,0.422,0.408
2,0.851,0.362,0.678,0.209,0.209,0.108,0.108,1.361,0.455,1.125,0.408
3,0.771,0.136,0.223,0.097,0.131,0.108,0.108,1.039,0.261,0.532,0.408
4,0.191,0.985,0.432,0.297,0.149,0.108,0.108,0.281,0.733,0.780,0.408
5,1.124,0.395,0.174,0.395,0.164,0.108,0.108,0.408,0.461,0.345,0.408
6,1.202,0.520,0.128,0.419,0.213,0.108,0.108,0.368,0.376,0.833,0.408
7,0.323,1.149,0.269,0.208,0.139,0.108,0.108,1.422,0.148,0.988,0.408
8,0.231,0.484,0.288,0.194,0.212,0.108,0.108,1.432,0.331,0.682,0.408
9,0.346,0.210,0.428,0.244,0.179,0.108,0.108,0.460,1.307,0.195,0.408
10,0.250,1.091,0.340,0.308,0.288,0.108,0.108,0.232,0.187,1.445,0.408
11,1.111,1.502,0.351,0.151,0.157,0.108,0.108,0.161,0.874,0.638,0.408
12,0.465,0.268,0.315,0.206,0.136,0.108,0.108,1.053,0.835,0.537,0.408
13,0.692,0.863,0.311,0.312,0.123,0.108,0.108,0.272,0.254,0.664,0.408
14,1.008,0.269,0.720,0.345,0.267,0.108,0.108,1.095,0.192,0.758,0.408
15,0.219,0.497,0.783,0.215,0.292,0.108,0.108,0.183,0.356,0.723,0.408
16,0.104,0.614,0.494,0.154,0.260,0.108,0.108,0.114,0.861,1.120,0.408
17,0.941,0.451,0.687,0.207,0.123,0.108,0.108,1.010,0.182,0.244,0.408
18,1.107,0.787,0.515,0.192,0.190,0.108,0.108,0.409,0.924,0.673,0.408
19,0.233,1.285,0.542,0.233,0.134,0.108,0.108,0.233,0.359,0.260,0.408
20,0.581,1.031,1.219,0.285,0.189,0.108,0.108,0.307,1.234,0.254,0.408
21,1.066,1.798,0.215,0.142,0.237,0.108,0.108,0.852,0.476,0.684,0.408
22,1.482,0.908,0.401,0.233,0.279,0.108,0.108,0.725,0.102,0.424,0.408
23,0.306,1.037,0.518,0.211,0.245,0.108,0.108,0.174,0.605,0.273,0.408
24,0.688,0.150,0.312,0.223,0.147,0.108,0.108,0.354,0.993,1.111,0.408
25,0.873,1.024,0.151,0.347,0.162,0.108,0.108,0.425,0.195,0.744,0.408
26,1.292,0.717,0.146,0.208,0.187,0.108,0.108,1.183,0.140,0.745,0.408
27,1.531,0.366,0.451,0.285,0.142,0.108,0.108,0.159,0.454,0.765,0.408
28,0.458,0.992,0.556,0.185,0.165,0.108,0.108,0.324,0.420,0.344,0.408
29,0.519,0.773,0.162,0.141,0.206,0.108,0.108,0.472,0.178,0.949,0.408
30,1.046,0.337,0.149,0.173,0.286,0.108,0.108,0.239,0.484,0.922,0.408
31,1.124,0.735,0.974,0.371,0.215,0.108,0.108,0.193,0.395,1.119,0.408
32,0.651,0.614,0.415,0.178,0.111,0.108,0.108,0.193,0.189,0.361,0.408
33,1.125,0.273,0.185,0.428,0.198,0.108,0.108,0.195,0.209,1.418,0.408
34,1.437,0.816,0.491,0.338,0.145,0.108,0.108,1.029,0.349,0.829,0.408
35,0.158,0.231,0.319,0.523,0.184,0.108,0.108,0.289,0.230,0.340,0.408
36,0.370,0.465,0.152,0.276,0.149,0.108,0.108,0.730,0.408,1.097,0.408
37,0.728,0.852,0.699,0.390,0.105,0.108,0.108,0.336,0.313,0.289,0.408
38,0.765,0.719,0.324,0.211,0.220,0.108,0.108,0.405,0.186,0.914,0.408
39,0.364,1.122,0.534,0.176,1.442,0.108,0.108,0.193,0.534,1.595,0.408
40,0.139,0.386,0.204,0.186,0.269,0.108,0.108,0.376,0.085,1.042,0.408
