,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.004,0.006,0.010,0.017,0.003,0.008,0.008
SVWP,,,0.004,0.007,0.019,0.014,0.003,0.007,0.009
DCC_joint,,,0.002,0.002,0.003,0.006,0.001,0.014,0.004
SW_cross_validated,,,0.003,0.004,0.006,0.014,0.002,0.013,0.007
SW_15,,,0.003,0.003,0.003,0.007,0.003,0.009,0.005
SW_30,,,0.004,0.004,0.004,0.010,0.003,0.011,0.006
SW_60,,,0.004,0.004,0.005,0.012,0.003,0.012,0.007
SW_120,,,0.003,0.005,0.009,0.008,0.002,0.010,0.006
sFC,,,,,,,,,
