,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
68,0.846,0.925,0.976,0.955,1.231,0.817,0.817,0.824,0.921,0.788,1.085
69,0.899,0.899,1.001,1.242,0.872,0.817,0.817,0.859,1.101,0.908,1.085
70,0.891,0.896,0.907,0.953,1.131,0.817,0.817,0.804,0.894,0.984,1.085
71,0.802,0.927,0.953,0.974,1.289,0.817,0.817,0.902,0.912,1.010,1.085
72,0.823,0.947,0.893,1.074,0.746,0.817,0.817,0.866,0.940,1.068,1.085
73,0.864,0.883,0.848,0.931,0.871,0.817,0.817,0.903,0.846,0.858,1.085
74,0.860,0.920,0.927,0.929,0.889,0.817,0.817,0.900,1.054,0.868,1.085
75,0.991,0.940,0.882,1.061,0.860,0.817,0.817,1.053,0.964,0.887,1.085
76,0.849,0.966,0.842,0.810,1.274,0.817,0.817,0.841,0.901,0.943,1.085
77,0.925,0.857,0.883,0.912,1.124,0.817,0.817,0.956,0.926,0.902,1.085
78,0.908,0.885,0.787,0.871,1.084,0.817,0.817,0.851,0.909,0.959,1.085
79,0.882,0.799,0.928,1.074,0.792,0.817,0.817,0.860,0.909,1.007,1.085
80,0.897,0.830,0.988,0.906,0.986,0.817,0.817,0.847,0.921,0.889,1.085
81,0.845,0.854,0.776,0.946,0.962,0.817,0.817,0.867,0.891,0.866,1.085
82,0.905,0.917,1.022,0.859,0.948,0.817,0.817,0.859,0.840,0.980,1.085
83,0.873,0.989,0.911,0.859,1.218,0.817,0.817,1.021,0.896,0.927,1.085
84,0.896,0.865,0.879,0.904,1.252,0.817,0.817,0.889,0.915,0.910,1.085
85,0.924,0.872,0.958,0.781,1.000,0.817,0.817,0.884,0.875,0.809,1.085
86,0.909,1.007,0.932,1.004,0.885,0.817,0.817,0.868,0.855,0.886,1.085
87,0.868,0.869,0.864,0.894,0.972,0.817,0.817,0.895,1.009,0.935,1.085
88,0.900,0.933,0.980,0.941,0.981,0.817,0.817,1.123,0.871,0.952,1.085
89,0.894,0.941,0.869,1.037,1.053,0.817,0.817,0.850,0.854,0.776,1.085
90,0.845,1.029,0.885,0.939,0.884,0.817,0.817,0.862,0.880,0.829,1.085
91,0.896,0.874,0.776,1.026,1.047,0.817,0.817,0.916,0.880,0.869,1.085
92,0.895,0.830,1.034,1.028,1.010,0.817,0.817,0.864,0.883,0.908,1.085
93,0.825,0.908,0.786,0.898,0.968,0.817,0.817,0.810,0.896,0.948,1.085
94,1.024,0.902,0.886,0.891,0.796,0.817,0.817,0.885,0.910,0.865,1.085
95,0.947,0.924,0.881,1.034,1.035,0.817,0.817,0.913,0.865,0.832,1.085
96,0.919,0.904,0.922,0.938,0.987,0.817,0.817,0.829,0.857,0.875,1.085
97,0.860,0.845,1.210,0.905,0.938,0.817,0.817,0.869,0.980,0.906,1.085
98,0.895,0.984,0.946,1.284,0.886,0.817,0.817,0.926,1.199,0.849,1.085
99,0.854,0.904,0.918,0.775,1.249,0.817,0.817,0.965,1.021,0.957,1.085
100,0.887,0.878,0.930,0.908,0.877,0.817,0.817,0.964,0.941,0.892,1.085
101,0.933,0.932,0.950,0.966,0.913,0.817,0.817,0.865,0.987,0.905,1.085
102,0.931,1.008,0.989,0.851,0.805,0.817,0.817,0.989,0.871,0.913,1.085
103,0.865,0.862,0.865,0.913,0.904,0.817,0.817,0.888,0.891,0.918,1.085
104,0.899,0.975,0.918,0.832,1.459,0.817,0.817,0.936,0.946,0.902,1.085
105,0.874,0.874,0.966,0.891,0.878,0.817,0.817,0.946,0.799,1.016,1.085
106,0.919,0.949,0.791,0.786,0.892,0.817,0.817,0.917,0.937,0.880,1.085
107,0.845,0.892,0.929,0.972,0.827,0.817,0.817,0.856,1.099,0.935,1.085
108,0.912,0.874,0.877,0.897,0.930,0.817,0.817,0.819,0.915,0.913,1.085
109,0.851,0.940,0.867,0.975,0.898,0.817,0.817,0.751,0.849,0.847,1.085
110,0.910,0.932,0.923,0.917,1.031,0.817,0.817,0.893,0.981,0.866,1.085
111,0.839,1.095,1.204,0.844,0.943,0.817,0.817,0.860,0.966,1.000,1.085
112,0.851,0.880,0.950,1.141,1.128,0.817,0.817,0.911,0.975,0.926,1.085
113,0.919,0.885,0.905,0.821,0.973,0.817,0.817,0.868,0.841,0.895,1.085
114,0.998,0.880,0.910,1.184,0.848,0.817,0.817,0.848,0.862,0.865,1.085
115,0.841,0.905,0.900,0.891,0.926,0.817,0.817,0.857,0.998,0.899,1.085
116,0.927,0.867,0.866,1.300,0.900,0.817,0.817,0.797,0.909,0.873,1.085
117,0.914,0.891,0.806,0.950,0.767,0.817,0.817,0.855,0.895,0.919,1.085
118,0.876,0.927,0.914,0.909,0.905,0.817,0.817,0.789,0.954,0.819,1.085
119,1.089,0.894,1.041,1.017,0.930,0.817,0.817,0.889,0.974,0.878,1.085
120,0.846,0.968,0.883,0.998,0.993,0.817,0.817,0.892,0.907,0.879,1.085
121,0.869,0.841,1.009,1.078,0.850,0.817,0.817,0.909,1.194,0.880,1.085
122,0.863,1.277,0.957,0.872,0.932,0.817,0.817,0.981,0.890,0.884,1.085
123,0.982,0.909,0.882,0.903,1.180,0.817,0.817,0.899,0.901,0.911,1.085
124,0.850,0.891,0.889,1.119,1.068,0.817,0.817,0.822,0.856,0.866,1.085
125,0.889,0.930,0.787,0.880,0.871,0.817,0.817,0.806,0.932,0.854,1.085
126,0.912,0.966,0.929,0.795,1.315,0.817,0.817,0.765,0.860,1.013,1.085
127,0.869,0.882,0.917,0.915,0.880,0.817,0.817,0.769,0.910,0.857,1.085
128,0.970,0.939,0.963,0.879,0.912,0.817,0.817,0.916,1.029,0.925,1.085
129,0.887,0.818,0.930,0.984,0.932,0.817,0.817,0.940,0.934,0.870,1.085
130,0.859,0.903,0.798,0.958,0.917,0.817,0.817,0.944,0.902,0.933,1.085
131,0.827,0.895,0.956,0.923,0.948,0.817,0.817,0.867,0.951,0.946,1.085
132,0.873,0.948,0.977,0.930,0.815,0.817,0.817,0.808,0.932,0.922,1.085
133,1.002,0.862,0.961,0.894,0.913,0.817,0.817,0.860,0.954,0.892,1.085
134,0.900,0.883,1.066,0.914,0.814,0.817,0.817,0.837,0.890,1.033,1.085
135,1.010,0.899,0.898,0.944,0.849,0.817,0.817,0.887,0.928,0.858,1.085
136,0.839,0.826,0.938,1.049,0.873,0.817,0.817,0.863,0.864,0.979,1.085
137,0.909,0.898,0.892,0.928,1.035,0.817,0.817,1.020,0.902,0.884,1.085
138,0.879,1.042,0.965,1.073,0.868,0.817,0.817,0.902,0.875,0.882,1.085
