,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.924,0.884,0.829,0.322,0.920,0.023,0.650
SVWP,,,0.928,0.883,0.746,0.239,0.923,0.004,0.621
DCC_joint,,,0.939,0.902,0.862,0.638,0.930,0.235,0.751
SW_cross_validated,,,0.917,0.879,0.834,0.496,0.917,0.108,0.692
SW_15,,,0.812,0.819,0.813,0.593,0.843,0.300,0.697
SW_30,,,0.852,0.854,0.844,0.580,0.867,0.256,0.709
SW_60,,,0.904,0.890,0.842,0.534,0.894,0.137,0.700
SW_120,,,0.949,0.869,0.462,0.148,0.914,-0.041,0.550
sFC,,,,,,,,,
