,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,3.8810e-07,3.8901e-11,1.5633e-15,3.2583e-28,7.8972e-25,1.8814e-21,1.0836e-16,3.2688e-07
DCC_joint,,3.8810e-07,,5.9377e-06,4.6156e-13,1.3259e-28,7.0814e-25,5.9087e-21,3.8776e-15,9.4207e-01
DCC_bivariate_loop,,3.8901e-11,5.9377e-06,,2.0426e-10,3.0097e-29,3.1321e-25,8.3033e-21,8.4044e-14,6.5555e-06
SW_cross_validated,,1.5633e-15,4.6156e-13,2.0426e-10,,2.6698e-30,1.0206e-25,3.5688e-20,2.3656e-10,4.5191e-13
SW_15,,3.2583e-28,1.3259e-28,3.0097e-29,2.6698e-30,,3.3100e-24,5.5827e-28,6.8592e-25,1.1931e-28
SW_30,,7.8972e-25,7.0814e-25,3.1321e-25,1.0206e-25,3.3100e-24,,1.3425e-20,1.8900e-19,6.4316e-25
SW_60,,1.8814e-21,5.9087e-21,8.3033e-21,3.5688e-20,5.5827e-28,1.3425e-20,,2.1616e-11,5.4457e-21
SW_120,,1.0836e-16,3.8776e-15,8.4044e-14,2.3656e-10,6.8592e-25,1.8900e-19,2.1616e-11,,3.8430e-15
sFC,,3.2688e-07,9.4207e-01,6.5555e-06,4.5191e-13,1.1931e-28,6.4316e-25,5.4457e-21,3.8430e-15,
