,0,1,2
0,0.46,0.52,0.03
1,0.80,0.20,
2,0.94,0.06,
3,0.13,0.37,0.51
4,0.79,0.21,
5,0.49,0.19,0.32
6,0.79,0.11,0.10
7,0.66,0.34,
8,0.40,0.46,0.14
9,0.61,0.32,0.06
10,1.00,,
11,0.63,0.37,
12,0.39,0.61,
13,0.94,0.06,
14,0.34,0.56,0.11
15,0.05,0.95,
16,0.06,0.39,0.55
17,0.61,0.39,
18,0.02,0.17,0.81
19,1.00,,
20,0.80,0.20,
21,0.45,0.55,
22,1.00,,
23,0.87,0.13,
24,0.07,0.93,
25,0.81,0.16,0.04
26,0.35,0.31,0.34
27,0.67,0.26,0.07
28,0.66,0.26,0.08
29,1.00,0.00,
30,0.79,0.21,
31,1.00,,
32,0.70,0.26,0.04
33,0.29,0.29,0.42
34,0.45,0.23,0.32
35,1.00,,
36,0.52,0.48,
37,0.70,0.29,0.01
38,0.71,0.17,0.11
39,0.76,0.24,
40,0.91,0.10,
41,1.00,,
42,0.92,0.08,
43,0.99,0.01,
44,0.79,0.21,
45,0.10,0.27,0.63
46,0.95,0.05,
47,0.74,0.26,
48,0.55,0.19,0.26
49,0.96,0.04,
50,0.32,0.10,0.58
51,0.37,0.37,0.26
52,0.99,0.01,
53,0.47,0.52,0.01
54,0.49,0.11,0.40
55,1.00,,
56,0.50,0.50,
57,0.35,0.29,0.35
58,1.00,,
59,0.87,0.09,0.04
60,0.92,0.08,
61,0.60,0.26,0.14
62,1.00,,
63,0.94,0.06,
64,0.86,0.14,
65,0.55,0.32,0.13
66,0.03,0.97,
67,0.74,0.26,
68,0.37,0.39,0.24
69,1.00,,
70,0.56,0.29,0.14
71,0.42,0.57,0.01
72,1.00,,
73,0.31,0.51,0.18
74,0.94,0.06,
75,0.93,0.07,
76,0.97,0.03,
77,0.93,0.07,
78,1.00,,
79,0.35,0.47,0.17
80,0.27,0.15,0.57
81,0.34,0.32,0.34
82,0.55,0.04,0.41
83,0.69,0.23,0.09
84,0.01,0.99,
85,0.92,0.08,
86,0.79,0.12,0.08
87,0.97,0.03,
88,0.03,0.96,0.01
89,0.23,0.56,0.20
90,0.61,0.32,0.07
91,0.62,0.38,
92,0.64,0.36,0.00
93,0.50,0.21,0.29
94,0.92,0.08,
95,0.20,0.27,0.53
96,0.22,0.35,0.43
97,0.53,0.33,0.14
98,0.26,0.50,0.24
99,0.10,0.90,
100,0.33,0.34,0.33
101,1.00,,
102,0.30,0.51,0.19
