,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.17,0.31,0.11,0.01,0.03,-0.04,0.05,0.01,0.02,0.05,0.13,-0.05,-0.07,-0.01
1,-0.17,1.00,-0.14,0.05,-0.07,-0.10,0.10,-0.52,0.09,0.31,-0.01,-0.22,-0.14,-0.10,-0.12
2,0.31,-0.14,1.00,0.01,0.15,-0.03,-0.08,0.08,0.06,-0.02,-0.06,-0.08,0.02,0.20,0.06
3,0.11,0.05,0.01,1.00,-0.03,0.03,0.09,-0.04,-0.04,0.03,0.15,-0.02,0.03,0.05,0.05
4,0.01,-0.07,0.15,-0.03,1.00,-0.15,-0.19,0.07,-0.14,-0.03,-0.13,0.17,-0.08,-0.08,0.01
5,0.03,-0.10,-0.03,0.03,-0.15,1.00,0.19,0.17,0.11,-0.09,0.04,0.08,0.12,-0.07,-0.04
6,-0.04,0.10,-0.08,0.09,-0.19,0.19,1.00,-0.04,0.05,0.05,0.12,-0.11,0.20,0.09,-0.07
7,0.05,-0.52,0.08,-0.04,0.07,0.17,-0.04,1.00,-0.10,-0.11,0.00,0.23,0.21,0.09,0.16
8,0.01,0.09,0.06,-0.04,-0.14,0.11,0.05,-0.10,1.00,-0.18,-0.11,-0.00,-0.03,0.19,-0.10
9,0.02,0.31,-0.02,0.03,-0.03,-0.09,0.05,-0.11,-0.18,1.00,0.02,-0.15,0.05,-0.13,-0.09
10,0.05,-0.01,-0.06,0.15,-0.13,0.04,0.12,0.00,-0.11,0.02,1.00,0.11,0.02,-0.03,-0.03
11,0.13,-0.22,-0.08,-0.02,0.17,0.08,-0.11,0.23,-0.00,-0.15,0.11,1.00,0.00,-0.08,-0.12
12,-0.05,-0.14,0.02,0.03,-0.08,0.12,0.20,0.21,-0.03,0.05,0.02,0.00,1.00,0.17,0.12
13,-0.07,-0.10,0.20,0.05,-0.08,-0.07,0.09,0.09,0.19,-0.13,-0.03,-0.08,0.17,1.00,0.04
14,-0.01,-0.12,0.06,0.05,0.01,-0.04,-0.07,0.16,-0.10,-0.09,-0.03,-0.12,0.12,0.04,1.00
