,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.14,2.55,0.47,1.36,0.06,0.01,2.26,27.00
SVWP,0.14,,2.46,0.60,1.27,0.05,0.12,2.17,27.58
DCC_joint,2.55,2.46,,2.70,0.54,2.05,2.53,0.43,26.01
SW_cross_validated,0.47,0.60,2.70,,1.63,0.47,0.48,2.44,22.97
SW_15,1.36,1.27,0.54,1.63,,1.16,1.34,0.25,17.66
SW_30,0.06,0.05,2.05,0.47,1.16,,0.05,1.78,21.19
SW_60,0.01,0.12,2.53,0.48,1.34,0.05,,2.24,26.86
SW_120,2.26,2.17,0.43,2.44,0.25,1.78,2.24,,28.52
sFC,27.00,27.58,26.01,22.97,17.66,21.19,26.86,28.52,
