,test_likelihoods
sub-A00023510,-12.67
sub-A00027544,-9.53
sub-A00028177,-17.54
sub-A00028185,-7.56
sub-A00028207,-24.06
sub-A00028287,-17.48
sub-A00028352,-14.93
sub-A00028429,-30.28
sub-A00028606,-13.06
sub-A00028656,-16.83
sub-A00028694,-11.26
sub-A00028766,-18.46
sub-A00028844,-19.42
sub-A00029076,-13.22
sub-A00029092,-13.59
sub-A00029126,-13.01
sub-A00029127,-15.84
sub-A00029231,-11.20
sub-A00029303,-29.05
sub-A00029304,-18.10
sub-A00029979,-14.00
sub-A00030913,-24.09
sub-A00030989,-17.81
sub-A00031216,-10.28
sub-A00031217,-11.80
sub-A00031272,-11.14
sub-A00031459,-28.47
sub-A00031549,-16.97
sub-A00031625,-9.16
sub-A00031871,-14.32
sub-A00032007,-23.80
sub-A00033180,-20.13
sub-A00033231,-26.00
sub-A00033232,-12.78
sub-A00033247,-16.09
sub-A00033248,-26.04
sub-A00033640,-12.58
sub-A00033643,-54.44
sub-A00033747,-15.97
sub-A00034193,-14.99
sub-A00034385,-13.55
sub-A00034854,-12.55
sub-A00035036,-14.37
sub-A00035363,-8.10
sub-A00035553,-31.85
sub-A00035608,-24.84
sub-A00035840,-15.03
sub-A00035879,-13.21
sub-A00035881,-16.17
sub-A00035926,-25.30
sub-A00035943,-23.70
sub-A00035960,-26.95
sub-A00037081,-16.00
sub-A00037112,-16.30
sub-A00037117,-21.55
sub-A00037118,-11.98
sub-A00037122,-13.03
sub-A00037123,-9.77
sub-A00037160,-21.55
sub-A00037170,-13.33
sub-A00037198,-16.08
sub-A00037266,-12.65
sub-A00037378,-13.58
sub-A00037387,-18.99
sub-A00037396,-19.68
sub-A00037445,-7.95
sub-A00037476,-9.13
sub-A00037511,-17.48
sub-A00037531,-15.27
sub-A00037647,-15.65
sub-A00037725,-11.60
sub-A00037877,-25.10
sub-A00038158,-24.46
sub-A00038159,-19.02
sub-A00038189,-14.27
sub-A00038285,-14.79
sub-A00038522,-9.38
sub-A00038605,-11.11
sub-A00038616,-18.37
sub-A00038642,-15.29
sub-A00038718,-16.97
sub-A00038731,-19.47
sub-A00038831,-23.60
sub-A00038832,-11.31
sub-A00038998,-18.47
sub-A00039084,-31.54
sub-A00039143,-21.09
sub-A00039159,-29.20
sub-A00039218,-27.01
sub-A00039431,-18.71
sub-A00039463,-13.23
sub-A00039488,-28.95
