,test_likelihoods
sub-A00060516,-3.76
sub-A00060576,-4.53
sub-A00060581,-5.48
sub-A00060582,-6.04
sub-A00060628,-4.18
sub-A00060629,-3.00
sub-A00060630,-3.67
sub-A00060632,-6.40
sub-A00060662,-5.44
sub-A00060773,-4.42
sub-A00060848,-4.68
sub-A00060925,-4.84
sub-A00061284,-4.77
sub-A00061387,-6.67
sub-A00061598,-5.50
sub-A00061727,-4.39
sub-A00061881,-4.33
sub-A00061882,-3.45
sub-A00062248,-3.54
sub-A00062288,-4.65
sub-A00062351,-3.55
sub-A00062411,-6.36
sub-A00062917,-3.76
sub-A00062934,-4.36
sub-A00063103,-5.67
sub-A00063326,-6.21
sub-A00063368,-4.06
sub-A00063450,-5.15
sub-A00063589,-4.42
sub-A00064580,-3.46
sub-A00065197,-3.85
sub-A00065574,-3.27
sub-A00065617,-5.71
sub-A00065790,-4.15
sub-A00066087,-3.91
sub-A00066091,-5.12
sub-A00066153,-4.22
sub-A00066232,-3.84
sub-A00066236,-5.68
sub-A00066246,-5.26
sub-A00066319,-4.14
sub-A00066735,-5.13
sub-A00066781,-3.86
sub-A00066812,-5.36
sub-A00066822,-2.83
sub-A00066827,-4.02
sub-A00066926,-3.93
sub-A00072203,-5.42
sub-A00073600,-5.15
sub-A00073975,-4.69
sub-A00074000,-4.26
sub-A00074425,-4.43
sub-A00074609,-4.97
sub-A00074780,-3.99
sub-A00075156,-3.86
sub-A00075412,-4.42
sub-A00075721,-6.04
sub-A00075896,-4.47
sub-A00075964,-4.94
sub-A00077109,-4.92
sub-A00077182,-5.48
sub-A00077204,-5.89
sub-A00077637,-3.99
sub-A00077733,-3.21
sub-A00077734,-3.75
sub-A00077758,-5.79
sub-A00078238,-6.25
sub-A00079353,-3.91
sub-A00079747,-5.33
sub-A00079907,-5.10
sub-A00080447,-5.52
sub-A00080452,-5.54
sub-A00080453,-3.15
sub-A00081112,-4.26
sub-A00081938,-5.85
sub-A00082554,-4.22
