,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.871,0.823,1.085,1.051,1.042,0.977,1.030,0.844,0.872,0.998,0.905
1,0.849,0.812,1.239,1.178,0.958,0.953,0.830,0.855,1.114,0.832,0.885
2,0.852,0.816,0.832,1.053,1.028,0.993,1.019,0.982,1.116,0.852,0.906
3,0.861,0.825,1.012,1.016,0.951,0.874,0.922,0.804,0.949,0.843,0.948
4,0.871,0.834,1.108,0.985,1.040,0.981,0.898,0.993,1.075,0.836,0.896
5,0.867,0.793,1.256,1.005,1.033,0.861,0.818,0.896,1.057,0.830,0.876
6,0.860,0.811,1.020,1.152,1.028,0.907,0.840,0.804,0.919,0.838,0.864
7,0.863,0.797,1.107,1.024,0.897,0.980,0.863,0.882,1.078,0.852,0.967
8,0.844,0.834,1.116,1.037,0.916,0.900,0.938,0.920,0.937,0.838,0.874
9,0.886,0.819,1.128,1.089,0.887,0.836,0.836,0.928,0.981,0.835,0.869
