,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.613,3.007,0.529,0.201,0.168,0.103,0.560,0.138,0.358,0.723,0.948
1,1.392,2.587,0.487,0.203,0.148,0.126,1.179,0.154,0.344,2.144,1.030
2,1.847,2.863,0.301,0.220,0.137,0.138,0.102,0.197,0.309,1.919,0.754
3,1.452,1.641,0.430,0.203,0.148,0.105,0.087,0.155,0.344,1.429,0.880
4,1.530,2.420,0.475,0.204,0.134,0.117,0.086,0.194,0.302,2.071,1.032
5,1.656,2.655,0.489,0.218,0.171,0.091,1.517,0.154,0.348,0.878,0.736
6,1.622,2.922,0.424,0.232,0.169,0.124,1.096,0.135,0.317,1.920,0.767
7,1.570,2.192,0.469,0.204,0.129,0.131,1.441,0.170,0.371,2.264,0.924
8,1.778,2.695,0.507,0.210,0.157,0.086,0.443,0.196,0.343,2.091,0.738
9,1.630,2.518,0.440,0.199,0.135,0.084,1.387,0.188,0.328,2.083,0.685
