,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.30,6.31,,3.21,2.11,6.60,25.58,38.06
SVWP,0.30,,5.28,,2.52,1.53,5.31,20.34,27.93
DCC_joint,6.31,5.28,,,2.93,4.12,0.51,13.91,20.68
SW_cross_validated,,,,,,,,,
SW_15,3.21,2.52,2.93,,,1.12,2.73,18.27,26.27
SW_30,2.11,1.53,4.12,,1.12,,4.07,20.74,30.02
SW_60,6.60,5.31,0.51,,2.73,4.07,,16.97,26.49
SW_120,25.58,20.34,13.91,,18.27,20.74,16.97,,8.58
sFC,38.06,27.93,20.68,,26.27,30.02,26.49,8.58,
