,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,-0.09,10.43,18.53,95.99,62.82,41.61,28.04,8.58
SVWP,-0.09,,10.51,18.58,95.92,62.82,41.64,28.09,8.66
DCC_joint,10.43,10.51,,9.56,73.23,44.60,26.33,15.81,-2.53
SW_cross_validated,18.53,18.58,9.56,,46.83,24.76,10.65,3.34,-12.08
SW_15,95.99,95.92,73.23,46.83,,-33.68,-53.72,-56.32,-84.06
SW_30,62.82,62.82,44.60,24.76,-33.68,,-20.60,-27.38,-52.11
SW_60,41.61,41.64,26.33,10.65,-53.72,-20.60,,-9.10,-31.77
SW_120,28.04,28.09,15.81,3.34,-56.32,-27.38,-9.10,,-19.62
sFC,8.58,8.66,-2.53,-12.08,-84.06,-52.11,-31.77,-19.62,
