,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,0.844,0.831,0.948,0.998,0.883,0.839,0.878,0.850
1,0.857,0.823,1.121,1.135,0.910,0.860,1.022,0.852
2,0.830,0.764,0.908,1.133,1.020,0.991,1.010,0.826
3,0.831,0.856,1.038,1.058,0.812,0.741,1.161,0.747
4,0.846,0.734,1.194,0.887,0.810,0.827,1.126,0.855
5,0.851,0.819,1.075,0.882,0.884,0.826,1.015,0.962
6,0.901,0.684,1.038,0.921,0.878,0.839,0.925,0.852
7,0.837,0.799,0.908,0.824,1.000,0.804,0.857,0.864
8,0.838,0.834,0.907,1.243,0.853,0.880,0.939,0.842
9,0.838,0.838,1.053,1.080,0.858,0.990,0.811,0.809
10,0.880,0.870,1.204,0.999,0.802,0.817,1.008,0.854
11,0.816,0.826,1.113,0.880,0.868,0.839,0.901,0.855
12,0.825,0.696,1.088,0.936,0.923,0.851,0.926,0.880
13,0.853,0.846,1.158,1.031,0.939,0.854,0.858,0.850
14,0.884,0.854,1.112,0.989,1.019,0.924,0.969,0.856
15,0.794,0.901,1.217,0.940,1.010,0.810,0.904,0.831
16,0.856,0.849,1.109,0.903,0.878,0.805,0.994,0.833
17,0.898,0.816,0.960,0.973,0.944,0.744,0.966,0.842
18,0.827,0.879,1.217,0.841,0.781,0.778,0.901,0.839
19,0.882,0.834,0.896,0.935,0.942,0.711,1.078,0.840
20,0.843,0.818,1.152,0.890,0.966,0.840,0.810,0.859
21,0.785,0.829,1.100,0.855,1.004,0.798,0.881,0.855
22,0.835,0.840,1.043,0.914,0.833,0.847,0.875,0.837
23,0.872,0.799,0.970,1.110,0.860,0.830,1.045,0.811
24,0.895,0.817,1.125,0.944,0.812,0.918,0.782,0.850
25,0.804,0.831,0.985,0.926,0.843,0.839,1.101,0.880
26,0.812,0.822,0.986,0.979,0.833,0.936,0.989,0.850
27,0.847,0.822,1.116,0.934,0.828,0.827,0.931,0.837
28,0.824,0.825,1.015,0.880,0.964,0.724,0.785,0.838
29,0.814,0.823,1.101,0.931,0.945,0.923,0.824,0.859
30,0.843,0.869,0.970,0.863,0.842,0.939,0.871,0.851
31,0.887,0.835,1.044,1.125,0.887,0.870,0.816,0.865
32,0.845,0.814,1.183,1.051,1.232,1.054,0.811,0.840
33,0.872,0.800,0.959,1.066,0.885,0.819,1.043,0.853
34,0.928,0.817,1.008,0.782,0.935,0.910,1.032,0.880
