,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.035,0.039,0.042,0.055,0.058,0.072,0.077,0.053,0.054,0.040,0.041,0.051
DCC_joint,0.047,0.050,0.079,0.082,0.082,0.083,0.083,0.061,0.086,0.052,0.056,0.069
DCC_bivariate_loop,0.059,0.060,0.062,0.065,0.066,0.067,0.069,0.065,0.065,0.062,0.062,0.064
SW_cross_validated,0.087,0.089,0.089,0.103,0.116,0.114,0.108,0.096,0.093,0.088,0.088,0.097
SW_15,0.259,0.260,0.260,0.261,0.261,0.259,0.261,0.259,0.260,0.258,0.260,0.260
SW_30,0.187,0.189,0.187,0.190,0.190,0.188,0.189,0.190,0.188,0.186,0.188,0.188
SW_60,0.136,0.138,0.137,0.139,0.141,0.141,0.145,0.140,0.136,0.135,0.137,0.139
SW_120,0.112,0.115,0.111,0.119,0.132,0.133,0.135,0.123,0.111,0.113,0.116,0.120
sFC,0.047,0.050,0.082,0.083,0.082,0.083,0.083,0.060,0.091,0.051,0.055,0.070
