,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,,,,,,,,,,
DCC_bivariate_loop,,,,,,,,,,,,
SW_cross_validated,,,0.983,0.841,0.018,-0.494,0.535,-0.192,0.936,-0.009,0.856,0.386
SW_15,,,0.923,0.912,0.902,0.907,0.899,0.770,0.914,0.488,0.702,0.824
SW_30,,,0.964,0.954,0.942,0.947,0.930,0.830,0.947,0.481,0.820,0.868
SW_60,,,0.981,0.972,0.954,0.930,0.809,0.804,0.954,0.295,0.881,0.842
SW_120,,,0.987,0.950,0.638,-0.443,-0.720,0.285,0.945,-0.083,0.881,0.382
sFC,,,,,,,,,,,,
