,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.028,0.012,0.025,0.020,0.025,0.210,0.008,0.025,0.025,0.007,0.007,0.036
DCC_joint,0.024,0.014,0.016,0.013,0.015,0.009,0.010,0.005,0.024,0.005,0.004,0.013
DCC_bivariate_loop,0.030,0.014,0.025,0.024,0.022,0.015,0.028,0.020,0.016,0.014,0.026,0.021
SW_cross_validated,0.026,0.011,0.033,0.054,0.135,0.007,0.014,0.008,0.016,0.007,0.012,0.029
SW_15,0.032,0.023,0.017,0.016,0.017,0.021,0.021,0.018,0.023,0.022,0.017,0.021
SW_30,0.030,0.015,0.021,0.018,0.019,0.011,0.029,0.011,0.019,0.017,0.019,0.019
SW_60,0.039,0.013,0.024,0.023,0.018,0.013,0.017,0.016,0.018,0.017,0.017,0.020
SW_120,0.048,0.019,0.017,0.026,0.015,0.008,0.008,0.009,0.011,0.016,0.012,0.017
sFC,0.023,0.015,0.003,0.002,0.004,0.005,0.004,0.004,0.003,0.006,0.002,0.006
