,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.030,0.033,0.032,0.038,0.038,0.064,0.074,0.048,0.041,0.035,0.034,0.043
DCC_joint,0.047,0.049,0.079,0.082,0.081,0.083,0.083,0.060,0.086,0.051,0.055,0.069
DCC_bivariate_loop,0.059,0.060,0.062,0.064,0.065,0.066,0.068,0.065,0.064,0.062,0.061,0.063
SW_cross_validated,0.078,0.078,0.083,0.097,0.110,0.108,0.101,0.090,0.082,0.079,0.079,0.090
SW_15,0.268,0.267,0.268,0.269,0.268,0.268,0.268,0.268,0.267,0.268,0.268,0.268
SW_30,0.186,0.185,0.186,0.188,0.187,0.186,0.187,0.187,0.186,0.185,0.186,0.186
SW_60,0.133,0.134,0.134,0.136,0.138,0.138,0.142,0.137,0.132,0.133,0.134,0.136
SW_120,0.107,0.109,0.108,0.115,0.125,0.130,0.132,0.117,0.105,0.107,0.112,0.115
sFC,0.047,0.049,0.082,0.083,0.082,0.083,0.083,0.060,0.091,0.051,0.055,0.070
