,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.018,0.029,0.071,0.094,0.117,0.554,0.701,0.374,0.230,0.203,0.149,0.231
DCC_joint,0.040,0.014,0.658,0.682,0.694,0.703,0.701,0.390,0.722,0.199,0.302,0.464
DCC_bivariate_loop,0.050,0.022,0.181,0.238,0.277,0.299,0.321,0.267,0.237,0.182,0.154,0.203
SW_cross_validated,0.085,0.035,0.236,0.506,0.679,0.774,0.660,0.441,0.272,0.205,0.131,0.366
SW_15,0.279,0.107,0.170,0.186,0.197,0.194,0.206,0.250,0.178,0.240,0.194,0.200
SW_30,0.184,0.070,0.127,0.143,0.169,0.193,0.235,0.206,0.151,0.188,0.128,0.163
SW_60,0.137,0.054,0.109,0.173,0.265,0.378,0.511,0.234,0.179,0.195,0.105,0.213
SW_120,0.118,0.045,0.172,0.365,0.614,0.780,0.834,0.385,0.232,0.219,0.113,0.352
sFC,0.041,0.016,0.709,0.709,0.710,0.711,0.710,0.390,0.818,0.199,0.303,0.483
