,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.003,0.004,0.003,0.004,0.004,0.015,0.002,0.002,0.004,0.003,0.004,0.004
DCC_joint,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003
DCC_bivariate_loop,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.004
SW_cross_validated,0.003,0.003,0.003,0.002,0.004,0.002,0.002,0.003,0.002,0.003,0.003,0.003
SW_15,0.003,0.002,0.003,0.003,0.002,0.002,0.004,0.002,0.004,0.002,0.002,0.003
SW_30,0.004,0.002,0.004,0.002,0.002,0.002,0.004,0.003,0.003,0.003,0.002,0.003
SW_60,0.004,0.003,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003
SW_120,0.007,0.008,0.004,0.007,0.006,0.003,0.003,0.005,0.003,0.007,0.007,0.006
sFC,0.003,0.003,0.001,0.002,0.002,0.002,0.002,0.003,0.001,0.003,0.003,0.002
