,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,,,,,,,,,,
DCC_bivariate_loop,,,,,,,,,,,,
SW_cross_validated,,,0.007,0.068,0.651,0.081,0.130,0.122,0.008,0.063,0.040,0.130
SW_15,,,0.014,0.023,0.021,0.016,0.020,0.020,0.024,0.102,0.089,0.037
SW_30,,,0.010,0.013,0.021,0.010,0.017,0.021,0.021,0.143,0.083,0.038
SW_60,,,0.008,0.009,0.022,0.014,0.041,0.030,0.009,0.156,0.059,0.039
SW_120,,,0.006,0.016,0.078,0.101,0.104,0.085,0.005,0.118,0.033,0.061
sFC,,,,,,,,,,,,
