,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,179,179,175,177,137,179,179,179,179,179,179
1,177,177,143,143,179,179,179,177,179,179,179
2,177,179,177,151,179,179,179,179,171,179,177
3,175,179,177,179,179,177,179,179,177,179,171
4,173,179,155,173,123,179,179,165,179,173,175
5,179,177,151,163,89,177,179,179,177,179,177
6,177,177,177,145,127,179,171,179,169,179,179
7,177,175,177,165,159,177,179,175,177,179,179
8,173,175,179,171,177,179,177,173,173,171,173
9,159,175,149,137,99,179,179,175,179,177,179
