,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.023,0.026,0.020,0.021,0.018,,,0.016,0.023,0.011,,0.020
DCC_bivariate_loop,0.025,0.026,0.021,0.021,0.018,,,0.016,0.023,0.011,,0.020
SW_cross_validated,0.019,0.031,0.033,0.039,0.030,,,0.025,0.038,0.019,,0.029
SW_15,0.020,0.043,0.030,0.036,0.032,,,0.029,0.038,0.026,,0.032
SW_30,0.018,0.039,0.027,0.032,0.027,,,0.025,0.031,0.021,,0.027
SW_60,0.019,0.033,0.022,0.022,0.014,,,0.013,0.025,0.016,,0.021
SW_120,0.026,0.038,0.027,0.014,0.015,,,0.017,0.032,0.020,,0.024
sFC,0.023,0.009,0.004,0.005,0.003,,,0.005,0.004,0.006,,0.007
