,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,99,47,47,35,29,51,97
1,89,77,45,23,23,29,39
2,67,61,53,27,25,35,53
3,89,99,45,23,27,23,97
4,59,71,45,27,21,21,77
5,83,85,31,23,31,43,29
6,97,41,47,29,25,27,65
7,99,99,41,25,25,27,39
8,83,69,35,23,21,39,97
9,95,97,39,37,23,21,77
10,75,89,25,23,29,31,45
11,99,75,57,21,23,21,49
12,91,59,43,23,29,33,61
13,95,69,35,27,23,23,87
14,57,99,33,29,21,81,95
15,63,97,51,23,21,37,97
16,51,95,51,21,25,57,99
17,51,81,43,25,29,25,99
18,95,45,27,21,35,27,93
19,83,99,45,25,21,23,59
20,95,77,55,23,21,31,89
21,53,71,43,23,27,25,41
22,91,37,55,25,21,21,89
23,59,51,45,25,21,21,77
24,89,95,39,25,37,25,99
25,93,43,41,47,27,33,83
26,49,57,37,21,21,27,91
27,65,29,41,21,29,35,61
28,95,91,33,21,25,35,93
29,57,71,27,39,21,35,93
30,99,99,35,23,23,23,99
31,97,93,49,29,23,29,91
32,95,57,37,31,21,39,91
33,81,39,41,25,21,21,55
34,93,97,47,21,21,21,97
35,99,87,35,31,27,31,39
36,97,99,55,21,25,21,97
37,27,91,51,31,29,75,51
38,61,97,45,39,21,49,99
39,41,65,41,35,27,25,61
40,77,97,31,31,23,25,99
41,79,57,27,25,25,67,77
42,87,95,35,23,23,31,95
43,97,45,21,33,23,35,85
44,83,69,31,25,29,21,97
45,97,81,35,33,21,25,99
46,69,99,35,31,29,25,97
47,99,83,43,29,21,25,85
48,99,97,45,21,21,37,95
49,83,95,21,29,29,25,77
50,85,89,27,37,23,45,35
51,95,45,35,27,23,33,71
52,61,97,45,25,25,23,97
53,95,93,25,35,21,55,95
54,95,65,33,39,27,43,77
55,99,65,41,31,25,23,97
56,99,51,41,23,21,23,73
57,47,97,25,27,23,21,97
58,57,97,55,33,21,23,99
59,89,79,61,21,21,29,71
60,91,81,29,39,23,37,99
61,81,89,51,23,23,31,97
62,97,51,29,31,23,33,89
63,51,97,31,29,21,45,95
64,57,79,39,23,27,71,83
65,99,65,53,29,23,33,77
66,97,85,51,25,21,39,93
67,69,81,35,29,25,35,71
68,93,97,37,31,23,25,97
69,87,93,39,23,23,31,27
70,93,63,37,29,23,27,95
71,97,73,53,25,25,21,97
72,57,77,39,29,29,25,99
73,97,99,43,23,21,29,99
74,97,31,47,33,29,27,61
75,55,77,43,25,37,33,95
76,91,97,27,25,23,21,75
77,97,63,27,31,21,37,85
78,99,57,39,21,23,29,97
79,95,51,33,27,31,37,77
80,95,97,39,23,27,35,99
81,99,99,29,37,23,21,81
82,99,79,39,27,21,45,99
83,97,71,35,31,27,23,85
84,73,97,33,29,21,29,81
85,69,87,61,31,25,29,51
86,81,73,21,35,23,29,41
87,31,99,35,21,39,23,87
88,97,99,33,29,25,49,69
89,87,87,25,25,21,31,43
90,97,77,35,25,21,31,85
91,83,95,53,31,21,25,73
92,53,93,39,23,25,23,75
93,99,79,33,27,25,41,43
94,53,65,25,31,35,91,91
95,81,87,39,27,29,35,99
96,91,75,41,31,25,23,99
97,99,75,39,23,25,43,67
98,99,99,41,21,21,27,63
99,91,99,55,29,21,33,49
100,89,37,29,25,21,37,85
101,99,89,31,27,21,21,97
102,61,81,45,23,21,21,41
103,69,83,33,25,23,31,93
104,89,81,47,29,25,39,97
105,95,95,23,21,25,33,95
106,43,87,41,33,21,45,95
107,97,91,47,21,31,27,91
108,75,91,43,27,23,29,99
109,99,45,43,25,25,33,95
110,97,59,31,31,21,21,47
111,99,79,35,25,21,31,99
112,99,63,39,27,23,31,21
113,97,83,43,23,21,31,99
114,83,91,47,25,21,41,77
115,99,81,39,31,21,23,41
116,67,63,37,29,31,55,51
117,99,93,37,25,27,23,99
118,89,69,27,31,21,37,93
119,87,47,47,23,21,27,93
120,65,85,27,27,23,83,97
121,85,85,43,25,27,49,95
122,99,91,33,25,23,31,67
123,83,55,51,23,21,47,65
124,57,91,57,27,23,43,99
125,95,99,23,27,35,21,47
126,87,65,47,23,21,31,91
127,87,97,33,25,23,27,63
128,59,81,59,25,25,25,25
129,95,47,39,33,21,43,43
130,95,83,35,33,21,51,79
131,99,99,29,35,31,23,85
132,59,99,31,29,27,39,87
133,73,77,53,25,29,41,45
134,83,95,23,25,25,33,89
135,99,41,29,25,23,23,99
136,91,95,35,31,23,43,85
137,95,87,41,21,31,43,97
138,59,99,57,37,31,33,99
139,99,81,37,23,21,23,51
140,63,97,35,25,21,21,93
141,85,71,41,43,23,27,95
142,85,91,47,41,21,21,45
143,97,35,31,31,21,25,45
144,97,79,55,21,21,27,51
145,75,91,37,31,21,31,43
146,99,83,47,23,33,23,77
147,99,93,45,29,25,35,97
148,71,99,29,27,21,61,89
149,55,77,35,25,21,27,87
150,41,87,49,27,21,25,97
151,73,99,35,27,21,31,95
152,63,25,39,21,25,37,65
153,77,53,55,21,21,31,99
154,99,75,37,31,29,23,75
155,61,99,35,27,27,27,91
156,41,95,55,21,25,25,95
157,99,79,49,29,21,21,99
158,69,99,33,29,25,21,49
159,77,85,37,31,27,39,33
160,99,49,27,23,25,51,95
161,67,87,41,27,33,27,67
162,69,95,47,23,21,61,85
163,31,99,37,37,27,29,97
164,65,93,29,25,23,21,29
165,95,53,29,39,23,27,95
166,93,99,39,25,21,27,77
167,89,83,49,25,25,25,95
168,91,85,35,23,21,59,73
169,53,85,61,29,21,31,29
170,99,61,43,25,21,41,99
171,21,99,37,31,25,41,97
172,85,99,43,39,23,21,81
173,63,97,51,31,21,21,83
174,81,41,27,41,23,29,89
175,67,75,49,25,23,21,89
176,85,97,39,31,21,57,25
177,41,97,51,23,23,23,53
178,79,91,27,25,29,33,81
179,49,33,35,29,27,33,93
180,75,99,43,31,31,29,99
181,93,93,43,39,29,21,93
182,99,95,27,25,25,21,39
183,93,55,45,31,23,21,93
184,99,95,43,35,23,21,97
185,95,99,29,21,27,23,95
186,97,41,69,31,21,25,69
187,89,85,29,25,29,33,97
